reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,6C:EC:EB:1F:FB:96,6C:EC:EB:1F:F4:4F,6C:EC:EB:1F:F8:E8,6C:EC:EB:1F:FB:C7,6C:EC:EB:1F:FD:9B,20:CD:39:7D:42:D1,6C:EC:EB:1F:FB:B0,6C:EC:EB:1F:FD:8E,6C:EC:EB:1F:F4:46,6C:EC:EB:1F:F4:74,6C:EC:EB:1F:F6:24,6C:EC:EB:1F:FD:83,6C:EC:EB:1F:F6:26,6C:EC:EB:1F:F6:65,6C:EC:EB:1F:F6:76,6C:EC:EB:1F:F6:55,6C:EC:EB:1F:F6:15,6C:EC:EB:1F:F6:2D,7C:66:9D:7B:2B:9F,BC:6A:29:BE:2F:23,7C:66:9D:7B:29:FB,7C:66:9D:7B:2B:90,BC:6A:29:BE:31:57,7C:66:9D:7B:29:FA,BC:6A:29:BE:2F:76,7C:66:9D:7B:2D:4A
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-69.75,-84.33333333333333,-88.0,-85.5,-89.0,-80.0,-81.0,-128.0,-128.0,-128.0,-77.0,-77.75,-88.0,-128.0,-128.0,-128.0,-128.0,-128.0
19,23.37,1.181,18,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-70.0,-66.0,-54.6,-83.25,-84.0,-91.0
7,14.227,4.933,6,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-87.0,-128.0,-76.0,-63.0,-71.33333333333333,-55.0,-128.0,-82.0,-92.0,-128.0,-81.5,-65.0,-85.0,-71.0,-93.0,-128.0,-128.0,-128.0
21,10.414,6.129,20,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-82.0,-76.0,-72.0,-79.0,-128.0,-128.0,-73.0,-80.5,-128.0,-128.0,-77.0,-62.6,-75.66666666666667,-128.0,-128.0,-128.0,-128.0,-128.0
20,17.942999999999994,1.181,19,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-90.0,-95.0,-128.0,-128.0,-128.0,-76.5,-66.66666666666667,-84.33333333333333,-128.0,-128.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-86.66666666666669,-86.0,-75.0,-73.0,-69.0,-77.0,-83.0,-88.66666666666669,-90.33333333333331,-94.0,-93.5,-83.66666666666667,-72.5,-74.0,-91.0,-128.0,-128.0,-128.0
5,13.253,7.5539999999999985,4,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-90.0,-94.0,-85.0,-89.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-95.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-70.0,-82.0,-87.0,-84.0,-128.0,-78.5,-81.66666666666667,-128.0,-128.0,-128.0,-77.75,-77.75,-88.0,-128.0,-128.0,-128.0,-128.0,-128.0
21,10.414,6.129,20,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-70.0,-128.0,-75.5,-75.0,-79.0,-128.0,-128.0,-79.0,-61.75,-71.75,-128.0,-128.0,-128.0,-128.0,-128.0
10,10.474,5.134,9,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-90.33333333333331,-73.0,-128.0,-128.0,-86.0,-88.0,-128.0,-84.0,-128.0,-128.0,-66.4,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
7,14.227,4.933,6,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-79.5,-78.0,-72.5,-61.66666666666666,-80.0,-55.8,-128.0,-128.0,-128.0,-128.0,-128.0,-63.0,-77.0,-75.0,-92.0,-128.0,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-74.0,-56.0,-128.0,-79.66666666666667,-128.0,-78.0,-77.0,-128.0,-128.0,-128.0,-81.66666666666667,-78.66666666666667,-128.0,-89.0,-90.0,-128.0,-128.0,-128.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-86.0,-87.0,-73.5,-72.0,-70.0,-128.0,-82.33333333333333,-128.0,-128.0,-128.0,-84.2,-74.0,-75.0,-128.0,-92.0,-128.0,-128.0,-128.0
7,14.227,4.933,6,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-79.66666666666667,-78.66666666666667,-73.75,-60.0,-80.0,-56.25,-77.66666666666667,-91.33333333333331,-128.0,-128.0,-86.0,-64.0,-77.0,-74.0,-128.0,-128.0,-128.0,-128.0
9,10.414,7.124,8,1,-128.0,-128.0,-128.0,-128.0,-90.0,-128.0,-128.0,-128,-84.75,-75.75,-78.0,-78.0,-128.0,-77.0,-74.0,-87.25,-128.0,-128.0,-65.4,-61.0,-74.0,-128.0,-128.0,-128.0,-128.0,-128.0
1,10.446,10.737,0,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-85.75,-76.6,-97.0,-88.0,-94.0,-89.66666666666669,-86.0,-128.0,-128.0,-128.0,-74.33333333333333,-82.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
2,14.227,10.88,1,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-79.0,-60.66666666666666,-81.5,-79.0,-86.0,-128.0,-81.0,-128.0,-128.0,-128.0,-82.0,-80.0,-128.0,-88.0,-91.5,-128.0,-128.0,-128.0
14,13.939,1.181,13,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-75.0,-128.0,-128.0,-68.5,-71.0,-81.0,-128.0,-84.5,-69.0,-68.0,-70.0,-128.0,-128.0,-128.0
17,26.342,3.903,16,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-65.33333333333333,-128.0,-72.0
8,13.253,3.263,7,1,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128,-89.5,-87.0,-74.0,-72.5,-70.0,-86.0,-83.0,-85.0,-93.0,-128.0,-86.66666666666669,-73.0,-74.66666666666667,-77.0,-128.0,-128.0,-128.0,-128.0
