reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,mac_rssi_sentence
4,14.227,8.273,3,1,"[1159, 872, 695, 1101, 1333, 747, 807, 1161, 872, 569, 619, 695, 1102, 1278, 747, 806, 1161, 1100, 1336, 748, 806, 1163, 569, 505, 695, 1100, 1277, 806, 1161, 695, 1101, 1278]"
2,14.227,10.88,1,0,"[592, 615, 500, 859, 592, 500, 859, 593, 799, 500, 859, 593, 800, 499, 592, 499]"
13,10.474,1.181,12,0,"[625, 798, 500, 1168, 1233, 692, 977, 1097, 553, 799, 623, 851, 1288, 1346, 1169, 72, 922, 1234, 693, 979, 1399, 1096, 849, 1345, 1234, 692, 977, 1096, 623, 500, 1290, 1347, 1168, 923, 70, 1233, 693, 1097, 978, 555, 799, 625, 500, 739, 1289, 1168, 921, 977]"
3,13.253,10.033,2,1,"[811, 563, 1115, 731, 861, 679, 811, 564, 1115, 857, 609, 682, 811, 565, 1115, 505, 811, 565, 1115, 681, 811, 566, 1115, 508, 863]"
9,10.414,7.124,8,1,"[1175, 1116, 624, 788, 1031, 572, 1175, 1116, 625, 1030, 572, 1177, 1116, 690, 624, 1223, 561, 740, 1183, 1114, 502, 557, 1183, 1114, 1221]"
6,13.253,5.959,5,1,"[873, 704, 1175, 498, 825, 633, 873, 705, 752, 501, 1226, 826, 632, 564, 705, 745, 707, 872, 1177, 1100, 823, 625, 705, 863, 1174, 749, 1107, 975]"
12,6.474,1.181,11,1,"[1349, 267, 1285, 1231, 1350, 269, 1232, 1350, 1232, 1350, 268, 1232, 1349, 268, 1232]"
9,10.414,7.124,8,1,"[1223, 1115, 508, 734, 624, 572, 1175, 1224, 1117, 508, 908, 735, 625, 1031, 1224, 690, 854, 1030, 1174, 572, 1225, 1115, 508, 690, 624, 854, 1030, 572, 1223, 910, 1117, 691, 625, 1031]"
18,26.342,6.574,17,1,"[1473, 1407, 1543, 1407, 1542, 1407, 1542, 1407, 1542, 1473, 1542]"
4,14.227,8.273,3,0,"[1108, 571, 687, 629, 567, 815, 628, 1109, 509, 814, 628, 571, 815, 1109, 509, 814, 629]"
13,10.474,1.181,12,1,"[1291, 921, 1245, 1344, 192, 1403, 375, 1289, 1343, 1403, 376, 1289, 917, 14, 1164, 1343, 1404, 729, 1290, 1245, 1344, 1404, 616, 376, 1290, 1343, 1403]"
20,17.942999999999994,1.181,19,1,"[1238, 1302, 1401, 1238, 1302, 1238, 1303, 1402, 1239, 1303, 1238, 1302]"
11,2.736,1.181,10,1,"[1331, 1272, 1333, 1272, 1211, 1332, 1274, 1211, 1334, 1210]"
5,13.253,7.5539999999999985,4,1,"[697, 1282, 1168, 874, 629, 799, 1112, 1217, 696, 874, 1168, 630, 803, 628, 736, 1112, 557, 1217, 695, 874, 1168, 628, 1112, 557, 696, 874, 1169, 629, 799, 1112]"
16,26.342,1.181,15,1,"[1153, 1360, 1407, 1466, 1293, 1535, 1407, 1228, 1465, 1534, 1360, 1407, 1228, 1465, 1294, 1152, 1534, 1408, 1229, 1465, 1293, 1361, 1534, 1407, 1228]"
9,10.414,7.124,8,1,"[871, 1226, 630, 503, 571, 688, 871, 1225, 1181, 629, 571, 803, 1119, 684, 871, 1226, 1181, 630, 503, 1119, 687, 871, 1226, 1181, 631, 571, 503, 803, 1119, 683, 1225, 630, 1182, 503, 804]"
17,26.342,3.903,16,1,"[1335, 1419, 1487, 1543, 1336, 1419, 1487, 1542, 1419, 1487, 1543, 1419, 1487, 1543, 1335, 1419, 1487, 1542]"
4,14.227,8.273,3,0,"[1093, 689, 862, 509, 804, 616, 689, 510, 803, 689, 804, 560, 689, 1093, 863, 510, 560, 862]"
16,26.342,1.181,15,1,"[1286, 1405, 1357, 1226, 1474, 1286, 1405, 1357, 1285, 1406, 1357, 1517, 1285, 1405, 1357, 1517, 1474, 1225, 1285, 1406, 1357]"
11,2.736,1.181,10,1,"[1391, 1220, 1338, 1222, 1154, 255, 1154, 1390, 1275, 1221, 1156, 254, 1222]"
2,14.227,10.88,1,1,"[512, 809, 689, 588, 741, 512, 809, 689, 588, 513, 809, 613, 1156, 588, 867, 742, 1111, 513, 809, 1216, 1110]"
9,10.414,7.124,8,0,"[508, 805, 1123, 1160, 1218, 859, 568, 621, 687, 508, 805, 1122, 733, 1166, 1220, 567, 507, 803, 1120, 1169, 566, 688, 1117, 1168, 569, 1219, 860, 1120, 1169]"
3,13.253,10.033,2,1,"[737, 508, 626, 557, 1165, 696, 1117, 807, 626, 1165, 696, 1117, 1117, 1214, 1117, 738, 874, 806, 696, 1165]"
7,14.227,4.933,6,1,"[1225, 619, 737, 864, 815, 1279, 621, 696, 816, 1225, 621, 736, 816, 1279]"
18,26.342,6.574,17,1,"[1407, 1543, 1473, 1407, 1542, 1473, 1407, 1542, 1473, 1407, 1542, 1473, 1408, 1542, 1473]"
14,13.939,1.181,13,0,"[745, 851, 1362, 1157, 1293, 617, 681, 744, 1219, 1034, 1362, 1157, 1293, 619, 925, 745, 1219, 1034, 1293, 681, 924, 745, 851, 1217, 1035, 1362, 1157, 968, 1294, 681, 924, 793, 851, 1220, 1035, 1157, 682]"
7,14.227,4.933,6,1,"[553, 828, 1177, 1094, 828, 1177, 1333, 693, 863, 1286, 1177, 739, 693, 862, 1286, 1177, 1094, 863, 1285, 827, 1177, 1094, 731, 693]"
2,14.227,10.88,1,0,"[685, 593, 1099, 611, 502, 864, 683, 594, 503, 1098, 803, 595, 503, 865]"
18,26.342,6.574,17,0,"[1412, 1544, 1413, 1544, 1412, 1412, 1413, 1546, 1544, 1412]"
20,17.942999999999994,1.181,19,0,"[1157, 1402, 1370, 983, 1405, 1290, 983, 1370, 731, 922, 1403, 1289, 1453, 921, 1401, 1369, 922, 1370]"
5,13.253,7.5539999999999985,4,1,"[1119, 1159, 561, 805, 866, 502, 1160, 808, 501, 806, 691]"
18,26.342,6.574,17,0,"[1474, 1542, 1542, 1474, 1542, 1474, 1542, 1411, 1474, 1474]"
8,13.253,3.263,7,0,"[636, 765, 815, 1097, 697, 1293, 1230, 634, 766, 814, 696, 559, 1229, 634, 764, 814, 855, 1231, 635, 758, 815, 698, 1282, 867, 508, 978, 1233, 1173, 629, 761, 815, 1107, 698]"
14,13.939,1.181,13,0,"[1156, 1293, 680, 1220, 1157, 745, 1293, 680, 1033, 1362, 1157, 924, 1220, 1362, 745, 924, 1294, 1361, 745, 924, 1294, 247]"
13,10.474,1.181,12,0,"[693, 797, 1182, 1299, 1107, 1243, 1351, 627, 74, 801, 1183, 1102, 1243, 1351, 628, 981, 1180, 928, 743, 555, 1403, 801, 1182, 1299, 1243, 500, 627, 979, 801, 1299, 929]"
