reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,6C:EC:EB:1F:FB:96,6C:EC:EB:1F:F4:4F,6C:EC:EB:1F:F8:E8,6C:EC:EB:1F:FB:C7,6C:EC:EB:1F:FD:9B,20:CD:39:7D:42:D1,6C:EC:EB:1F:FB:B0,6C:EC:EB:1F:FD:8E,6C:EC:EB:1F:F4:46,6C:EC:EB:1F:F4:74,6C:EC:EB:1F:F6:24,6C:EC:EB:1F:FD:83,6C:EC:EB:1F:F6:26,6C:EC:EB:1F:F6:65,6C:EC:EB:1F:F6:76,6C:EC:EB:1F:F6:55,6C:EC:EB:1F:F6:15,6C:EC:EB:1F:F6:2D,7C:66:9D:7B:2B:9F,BC:6A:29:BE:2F:23,7C:66:9D:7B:29:FB,7C:66:9D:7B:2B:90,BC:6A:29:BE:31:57,7C:66:9D:7B:29:FA,BC:6A:29:BE:2F:76,7C:66:9D:7B:2D:4A
10,10.474,5.134,9,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-89.75,-92.8,-86.0,-78.0,-87.5,-77.33333333333333,-79.33333333333333,-96.0,-128.0,-128.0,-128.0,-128.0,-68.25,-128.0,-128.0,-128.0,-128.0,-128.0
18,26.342,6.574,17,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-70.6,-79.0,-65.6
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-88.0,-128.0,-68.66666666666667,-64.5
9,10.414,7.124,8,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-70.66666666666667,-70.0,-88.5,-86.0,-90.0,-81.0,-71.66666666666667,-90.0,-93.0,-128.0,-64.4,-65.2,-74.0,-128.0,-128.0,-128.0,-128.0,-128.0
12,6.474,1.181,11,0,-128.0,-128.0,-128,-128.0,-70.5,-128.0,-128.0,-128,-128.0,-128.0,-86.5,-128.0,-93.0,-128.0,-128.0,-128.0,-89.66666666666669,-128.0,-88.0,-69.0,-62.0,-128.0,-91.0,-76.0,-97.0,-128.0
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-71.0,-66.0,-68.0
2,14.227,10.88,1,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-83.0,-74.0,-128.0,-128.0,-91.0,-94.0,-90.0,-128.0,-128.0,-128.0,-86.5,-90.66666666666669,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
18,26.342,6.574,17,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-75.75,-72.2,-69.5
16,26.342,1.181,15,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-61.0,-66.2,-128.0
6,13.253,5.959,5,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-72.5,-72.0,-67.4,-78.0,-84.0,-64.0,-67.0,-128.0,-128.0,-128.0,-76.6,-76.0,-87.0,-86.0,-128.0,-128.0,-128.0,-128.0
5,13.253,7.5539999999999985,4,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-88.0,-85.66666666666667,-128.0,-77.5,-128.0,-75.5,-68.5,-128.0,-128.0,-128.0,-74.25,-76.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
9,10.414,7.124,8,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-73.8,-128.0,-84.0,-80.66666666666667,-128.0,-84.25,-85.0,-92.0,-128.0,-128.0,-66.66666666666667,-65.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
15,21.124,1.181,14,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-93.0,-128.0,-128.0,-128.0,-128.0,-128.0,-80.0,-128.0,-73.5,-74.0,-92.0,-128.0
3,13.253,10.033,2,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-68.0,-67.0,-93.0,-78.0,-89.75,-80.6,-82.75,-128.0,-128.0,-128.0,-70.0,-84.5,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
12,6.474,1.181,11,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-97.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-69.4,-77.8,-84.0,-75.0,-128.0,-128.0
13,10.474,1.181,12,0,-94.0,-128.0,-128,-128.0,-88.0,-128.0,-128.0,-128,-94.0,-128.0,-128.0,-80.0,-128.0,-89.0,-128.0,-79.0,-128.0,-128.0,-85.5,-75.0,-67.0,-78.0,-128.0,-128.0,-128.0,-128.0
18,26.342,6.574,17,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-71.0,-128.0,-64.6
6,13.253,5.959,5,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-73.0,-70.0,-67.6,-81.33333333333333,-78.0,-65.0,-66.4,-128.0,-128.0,-128.0,-78.4,-77.0,-85.33333333333333,-84.0,-128.0,-128.0,-128.0,-128.0
20,17.942999999999994,1.181,19,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-96.0,-93.0,-94.0,-128.0,-128.0,-97.0,-92.0,-92.0,-128.0,-128.0,-70.6,-72.25,-59.75,-76.0,-96.0,-128.0
9,10.414,7.124,8,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-75.0,-128.0,-91.0,-78.33333333333333,-128.0,-84.25,-84.0,-128.0,-128.0,-128.0,-66.0,-76.8,-88.0,-128.0,-128.0,-128.0,-128.0,-128.0
5,13.253,7.5539999999999985,4,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-88.0,-86.0,-128.0,-82.0,-128.0,-74.33333333333333,-67.8,-128.0,-128.0,-128.0,-74.5,-128.0,-95.33333333333331,-128.0,-128.0,-128.0,-128.0,-128.0
15,21.124,1.181,14,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-92.5,-128.0,-128.0,-128.0,-128.0,-128.0,-92.0,-73.0,-60.6,-70.2,-128.0,-128.0
2,14.227,10.88,1,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-74.5,-128.0,-82.0,-95.5,-128.0,-90.0,-128.0,-128.0,-128.0,-84.0,-94.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-87.5,-70.0,-65.5,-69.0
2,14.227,10.88,1,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-80.5,-70.25,-94.0,-79.5,-84.66666666666667,-88.0,-87.0,-128.0,-128.0,-128.0,-80.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
5,13.253,7.5539999999999985,4,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-91.0,-128.0,-76.0,-128.0,-60.66666666666666,-128.0,-128.0,-128.0,-90.0,-76.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
13,10.474,1.181,12,0,-93.0,-128.0,-128,-128.0,-87.6,-128.0,-128.0,-128,-128.0,-128.0,-85.4,-80.0,-95.5,-86.66666666666669,-128.0,-78.0,-128.0,-128.0,-78.5,-75.8,-68.33333333333333,-74.75,-80.33333333333333,-92.0,-128.0,-128.0
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-88.0,-70.0,-65.8,-69.0
7,14.227,4.933,6,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-87.0,-78.5,-62.5,-83.0,-59.0,-70.5,-128.0,-92.0,-128.0,-74.0,-128.0,-84.0,-128.0,-128.0,-128.0,-128.0,-128.0
4,14.227,8.273,3,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-79.33333333333333,-69.0,-89.0,-80.0,-128.0,-75.2,-84.0,-128.0,-128.0,-128.0,-96.0,-78.0,-128.0,-128.0,-92.0,-128.0,-128.0,-128.0
16,26.342,1.181,15,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-83.0,-128.0,-128.0,-61.0,-66.0,-128.0
4,14.227,8.273,3,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-80.8,-83.5,-86.0,-77.5,-82.0,-78.66666666666667,-87.5,-128.0,-128.0,-128.0,-80.5,-80.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-87.75,-70.25,-65.5,-68.75
19,23.37,1.181,18,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-74.66666666666667,-76.25,-67.8,-76.5,-74.2,-93.5
8,13.253,3.263,7,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-81.0,-90.5,-65.5,-65.0,-77.5,-76.25,-128.0,-84.5,-85.0,-128.0,-84.0,-75.5,-82.75,-88.0,-93.0,-128.0,-128.0,-128.0
19,23.37,1.181,18,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-94.66666666666669,-128.0,-128.0,-128.0,-128.0,-74.4,-76.0,-67.75,-76.6,-74.2,-92.0
17,26.342,3.903,16,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-85.25
12,6.474,1.181,11,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-91.0,-128.0,-128.0,-93.0,-128.0,-128.0,-128.0,-88.33333333333331,-128.0,-89.0,-70.0,-61.75,-128.0,-90.0,-128.0,-96.33333333333331,-128.0
13,10.474,1.181,12,0,-93.0,-128.0,-128,-128.0,-87.0,-128.0,-128.0,-128,-84.33333333333333,-90.5,-81.5,-128.0,-85.0,-89.0,-128.0,-77.0,-128.0,-128.0,-89.33333333333331,-72.0,-67.0,-69.75,-76.5,-128.0,-128.0,-128.0
18,26.342,6.574,17,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-98.66666666666669,-75.25,-72.2,-70.0
9,10.414,7.124,8,0,-128.0,-128.0,-128,-128.0,-128.0,-128.0,-128.0,-128,-75.0,-128.0,-89.5,-79.66666666666667,-128.0,-85.75,-82.6,-128.0,-128.0,-128.0,-66.0,-77.0,-87.33333333333331,-128.0,-128.0,-128.0,-128.0,-128.0
