,0,1,2,3,4,5,6,7,8,9,10,11,12
0,7C:66:9D:7B:29:FB_-62,7C:66:9D:7B:29:FB_-62,7C:66:9D:7B:29:FB_-62,,,,,,,,,,
1,6C:EC:EB:1F:FB:B0_-91,6C:EC:EB:1F:FB:B0_-91,6C:EC:EB:1F:FB:B0_-91,6C:EC:EB:1F:FB:B0_-91,6C:EC:EB:1F:FB:B0_-91,,,,,,,,
2,6C:EC:EB:1F:FD:83_-81,6C:EC:EB:1F:FD:83_-81,BC:6A:29:BE:2F:23_-84,6C:EC:EB:1F:FD:83_-81,,,,,,,,,
3,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:29:FA_-78,,,,,,,,,,,
4,BC:6A:29:BE:2F:23_-86,,,,,,,,,,,,
5,BC:6A:29:BE:2F:23_-78,,,,,,,,,,,,
6,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,6C:EC:EB:1F:F6:65_-65,,,,,,,,
7,,,,,,,,,,,,,
8,7C:66:9D:7B:29:FA_-66,BC:6A:29:BE:2F:76_-72,,,,,,,,,,,
9,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F6:65_-91,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F6:65_-84,
10,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F4:46_-76,,,,,,,,,,
11,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:2B:9F_-76,,,,,,,,,
12,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,,,,,,
13,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:F6:76_-71,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:FD:83_-69,,,,,,,
14,6C:EC:EB:1F:F4:46_-73,6C:EC:EB:1F:F4:46_-73,6C:EC:EB:1F:F4:46_-73,6C:EC:EB:1F:F4:46_-73,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:F4:46_-73,,,,,,,
15,7C:66:9D:7B:2D:4A_-66,,,,,,,,,,,,
16,7C:66:9D:7B:29:FA_-75,,,,,,,,,,,,
17,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F6:65_-72,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,
18,6C:EC:EB:1F:F4:46_-84,6C:EC:EB:1F:F6:65_-87,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:76_-89,,,,,,,,,
19,,,,,,,,,,,,,
20,7C:66:9D:7B:2D:4A_-68,7C:66:9D:7B:2D:4A_-68,7C:66:9D:7B:2D:4A_-68,7C:66:9D:7B:2D:4A_-68,,,,,,,,,
21,7C:66:9D:7B:29:FA_-72,,,,,,,,,,,,
22,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,6C:EC:EB:1F:F4:74_-73,,,,,,,,,,
23,7C:66:9D:7B:29:FA_-68,7C:66:9D:7B:29:FA_-68,7C:66:9D:7B:29:FA_-68,,,,,,,,,,
24,7C:66:9D:7B:2D:4A_-71,7C:66:9D:7B:2D:4A_-71,,,,,,,,,,,
