error_distance,point_reference_tag
1.0002060970198061,17
1.0003799736814483,12
1.0004269734662126,7
1.0005979251313402,19
1.0006783485606776,17
1.0008338984201353,7
1.0008788450153947,7
1.000953723731221,6
1.0009818010275544,5
1.0013478138021568,18
1.0014571669037922,2
1.001535977348949,5
1.001823259641209,5
1.0020837909331144,5
1.0020883818981743,11
1.0021245274568362,20
1.0022922951537878,3
1.0025816542580135,19
1.0026123255158697,7
1.0026648728717473,7
1.002679469156001,17
1.0028519694684905,5
1.0030970569839235,17
1.0033008021744758,9
1.0034563117499076,2
1.003466013783799,4
1.0035595132483577,6
1.0035871202816862,4
1.0036204282096508,20
1.0036819841771254,5
1.0037450851794987,9
1.0038065623634693,15
1.004078472123191,5
1.0040944448001172,15
1.0041386101518157,20
1.0042814692416673,15
1.0044634018812195,20
1.004488811649098,9
1.0046050324019018,19
1.005197835945161,1
1.0054667720733188,7
1.0055276353184532,13
1.005874007794088,16
1.0059745797900133,16
1.0060035995797818,7
1.0060339033559937,2
1.006857408732489,9
1.0068765005060434,9
1.0068909701515911,15
1.0069286037901977,7
1.0069458643301237,16
1.0069794759000699,6
1.006992609763265,12
1.0070647226354705,11
1.0073908116925658,18
1.0074025320853301,18
1.007428830013521,6
1.0075907415974723,3
1.0076476977063775,18
1.00777270464179,20
1.007894212192384,8
1.0085105892698385,7
1.0085437636511778,10
1.008566246674932,6
1.0090536376012225,7
1.0092739024080857,5
1.0096718275311214,6
1.0098374497107496,17
1.0099557089206368,6
1.0101166579453196,16
1.0101547445905574,5
1.0104216567657087,1
1.0104778748367362,19
1.0105464581560986,19
1.0107901572234144,9
1.0109770489364156,19
1.0117431291515266,20
1.0118728772360266,1
1.011904095939468,10
1.0120362148286914,7
1.0121989057389802,19
1.0124877180944536,8
1.012581943889397,7
1.0131301113047293,17
1.013222915918902,4
1.013442193904384,17
1.0134464807104548,17
1.0140063239411101,18
1.0140395390821422,5
1.0141190462078662,4
1.0143263687881046,6
1.0143335912693079,7
1.0145948203456385,5
1.0149119476750277,14
1.0149303188373417,19
1.0150246227631563,3
1.0151330617064553,2
1.0154259908098542,5
1.0154701827319494,19
1.0155568086461468,5
1.0155737084644445,13
1.015612112200277,2
1.0156218911830939,15
1.0156400910713987,10
1.015982931412455,17
1.016092272556985,19
1.0161732385868447,17
1.0164581553427356,7
1.0164614287779627,13
1.0165650075087453,8
1.0165907980154498,2
1.0166748416884108,19
1.016860296528445,17
1.0169296231990828,19
1.0169683987677407,18
1.01722595829275,3
1.0173028642729907,6
1.0174182662039357,3
1.017454451831601,6
1.0174829715650213,3
1.017504172955995,14
1.0176895160958412,17
1.0177076195944195,7
1.0177106561877758,19
1.017757091845155,15
1.0178075684615635,4
1.0179092822492257,13
1.0179200851384953,15
1.018142808800257,3
1.0182183566943015,17
1.0182846314695693,3
1.018309765201303,5
1.0183338306012724,17
1.0183748969808915,7
1.0184226393853208,15
1.0184486727105846,20
1.0185566392023202,16
1.0186420497308877,12
1.0189473361353183,13
1.0189631471111646,1
1.0189946171331274,8
1.0190648229639336,13
1.019112128261133,18
1.0191270410071809,5
1.0192963678113962,8
1.019331026153279,8
1.0193731490103075,6
1.019479844260997,10
1.0195524501334507,8
1.019560053806391,3
1.0196007416571031,18
1.0196503169015854,16
1.0200291765885177,14
1.0202887815943704,3
1.0202888713117866,1
1.020439662386029,15
1.0209597269204045,7
1.0209617630394063,17
1.0209727627272671,11
1.0209814368046457,3
1.0210360569591195,1
1.021056499648181,6
1.0211681920058695,16
1.0212725068169657,14
1.0213750097663437,4
1.02140888796357,16
1.0214186630307887,5
1.0214694311728654,9
