,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7C:66:9D:7B:29:FB_-63,,,,,,,,,,,,,,,
1,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FB:96_-91,,,,,,,,,,,,,
2,6C:EC:EB:1F:F6:65_-89,6C:EC:EB:1F:F6:76_-89,6C:EC:EB:1F:F4:46_-86,,,,,,,,,,,,,
3,7C:66:9D:7B:29:FA_-78,,,,,,,,,,,,,,,
4,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:15_-80,6C:EC:EB:1F:F6:15_-78,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,7C:66:9D:7B:2B:9F_-72,7C:66:9D:7B:29:FB_-89,6C:EC:EB:1F:F6:26_-83,6C:EC:EB:1F:F4:46_-82,,,,,,,,,,,,
7,6C:EC:EB:1F:F6:26_-94,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F6:26_-94,,,,,,,,,,,,,
8,7C:66:9D:7B:29:FA_-66,BC:6A:29:BE:31:57_-75,,,,,,,,,,,,,,
9,6C:EC:EB:1F:F6:76_-78,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F6:24_-86,,,,,,,,,,,,,
10,6C:EC:EB:1F:F6:76_-90,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:FD:83_-82,,,,,,,,,,,,,
11,BC:6A:29:BE:2F:23_-72,,,,,,,,,,,,,,,
12,7C:66:9D:7B:29:FA_-76,6C:EC:EB:1F:F6:55_-72,,,,,,,,,,,,,,
13,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F6:26_-75,7C:66:9D:7B:2B:90_-82,6C:EC:EB:1F:F4:46_-91,6C:EC:EB:1F:F6:65_-57,,,,,,,,,,,
14,7C:66:9D:7B:2B:9F_-77,6C:EC:EB:1F:F6:26_-90,6C:EC:EB:1F:F6:76_-80,6C:EC:EB:1F:F6:26_-94,,,,,,,,,,,,
15,7C:66:9D:7B:2D:4A_-66,BC:6A:29:BE:2F:76_-65,,,,,,,,,,,,,,
16,BC:6A:29:BE:2F:76_-83,7C:66:9D:7B:29:FA_-75,,,,,,,,,,,,,,
17,7C:66:9D:7B:2B:9F_-79,,,,,,,,,,,,,,,
18,6C:EC:EB:1F:F6:24_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:29:FB_-68,6C:EC:EB:1F:F4:46_-83,6C:EC:EB:1F:F6:65_-88,,,,,,,,,,,
19,7C:66:9D:7B:29:FA_-72,7C:66:9D:7B:29:FB_-83,,,,,,,,,,,,,,
20,7C:66:9D:7B:2D:4A_-68,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,,
21,7C:66:9D:7B:29:FA_-72,BC:6A:29:BE:31:57_-59,BC:6A:29:BE:2F:76_-88,,,,,,,,,,,,,
22,6C:EC:EB:1F:F6:24_-81,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F6:26_-86,7C:66:9D:7B:2B:9F_-70,,,,,,,,,,,,
23,BC:6A:29:BE:31:57_-86,BC:6A:29:BE:2F:76_-58,,,,,,,,,,,,,,
24,7C:66:9D:7B:2B:90_-75,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-75,,,,,,,,,,,,,
25,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F6:76_-89,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:9F_-79,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
