,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7C:66:9D:7B:29:FB_-63,6C:EC:EB:1F:FB:96_-95,,,,,,,,,,,,,
1,6C:EC:EB:1F:F6:65_-100,7C:66:9D:7B:29:FB_-70,6C:EC:EB:1F:FD:9B_-82,7C:66:9D:7B:29:FA_-78,BC:6A:29:BE:2F:23_-82,6C:EC:EB:1F:FB:96_-91,7C:66:9D:7B:29:FB_-70,,,,,,,,
2,6C:EC:EB:1F:F6:65_-89,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,7C:66:9D:7B:29:FB_-69,,,,,,,,,,,,,,
5,6C:EC:EB:1F:F6:26_-93,7C:66:9D:7B:2B:9F_-74,,,,,,,,,,,,,
6,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:F4:46_-83,7C:66:9D:7B:2B:9F_-72,7C:66:9D:7B:29:FB_-89,,,,,,,,,,,
7,6C:EC:EB:1F:F6:15_-88,7C:66:9D:7B:29:FB_-62,BC:6A:29:BE:31:57_-92,,,,,,,,,,,,
8,BC:6A:29:BE:2F:76_-72,7C:66:9D:7B:29:FB_-91,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:2D:4A_-77,7C:66:9D:7B:29:FA_-66,BC:6A:29:BE:2F:76_-73,7C:66:9D:7B:29:FA_-66,,,,,,,,
9,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:74_-74,,,,,,,,,,,,
10,6C:EC:EB:1F:F6:65_-88,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:24_-90,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:F6:65_-86,6C:EC:EB:1F:F6:24_-88,,,,,,,,
11,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F6:65_-85,,,,,,,,,,,,,
12,7C:66:9D:7B:2B:90_-73,6C:EC:EB:1F:F6:24_-85,7C:66:9D:7B:29:FA_-77,BC:6A:29:BE:2F:23_-91,7C:66:9D:7B:29:FA_-77,,,,,,,,,,
13,6C:EC:EB:1F:F4:74_-78,6C:EC:EB:1F:F4:46_-92,7C:66:9D:7B:29:FB_-92,6C:EC:EB:1F:F4:74_-82,7C:66:9D:7B:2B:9F_-87,BC:6A:29:BE:2F:23_-83,,,,,,,,,
14,6C:EC:EB:1F:F6:65_-94,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F6:76_-78,,,,,,,,,,,,
15,BC:6A:29:BE:2F:76_-65,7C:66:9D:7B:29:FA_-69,,,,,,,,,,,,,
16,BC:6A:29:BE:2F:76_-83,7C:66:9D:7B:29:FA_-75,,,,,,,,,,,,,
17,6C:EC:EB:1F:F6:26_-88,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F6:24_-80,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F4:46_-86,6C:EC:EB:1F:F4:46_-86,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F6:65_-71,,,,,,,
18,6C:EC:EB:1F:FD:83_-71,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:24_-74,6C:EC:EB:1F:F4:74_-89,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:65_-88,6C:EC:EB:1F:F4:46_-82,,,,,,,,
19,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:2B:90_-76,,,,,,,,,,,,,
20,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,,
21,7C:66:9D:7B:29:FA_-72,,,,,,,,,,,,,,
22,6C:EC:EB:1F:F6:24_-81,6C:EC:EB:1F:F6:65_-82,7C:66:9D:7B:2B:9F_-70,,,,,,,,,,,,
23,BC:6A:29:BE:2F:76_-59,7C:66:9D:7B:2D:4A_-61,,,,,,,,,,,,,
24,7C:66:9D:7B:2D:4A_-71,BC:6A:29:BE:2F:76_-66,7C:66:9D:7B:2D:4A_-71,,,,,,,,,,,,
25,6C:EC:EB:1F:F4:46_-78,7C:66:9D:7B:2B:9F_-80,6C:EC:EB:1F:F6:26_-89,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,,,,,,,,,
26,7C:66:9D:7B:29:FB_-80,BC:6A:29:BE:31:57_-73,6C:EC:EB:1F:F6:55_-100,,,,,,,,,,,,
27,6C:EC:EB:1F:F6:76_-84,6C:EC:EB:1F:F4:46_-86,6C:EC:EB:1F:F6:65_-60,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,,
28,BC:6A:29:BE:2F:23_-79,7C:66:9D:7B:2B:9F_-81,7C:66:9D:7B:2B:9F_-80,7C:66:9D:7B:29:FB_-82,6C:EC:EB:1F:F6:24_-69,6C:EC:EB:1F:F4:74_-82,7C:66:9D:7B:2B:9F_-81,BC:6A:29:BE:2F:23_-79,6C:EC:EB:1F:F6:76_-74,7C:66:9D:7B:2B:90_-82,,,,,
29,6C:EC:EB:1F:F6:76_-84,6C:EC:EB:1F:F4:46_-78,7C:66:9D:7B:29:FB_-86,7C:66:9D:7B:2B:9F_-72,,,,,,,,,,,
30,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:90_-75,6C:EC:EB:1F:F6:65_-78,6C:EC:EB:1F:F6:76_-81,6C:EC:EB:1F:F6:15_-91,BC:6A:29:BE:31:57_-94,7C:66:9D:7B:2B:90_-75,BC:6A:29:BE:2F:23_-78,,,,,,,
31,6C:EC:EB:1F:F6:65_-87,BC:6A:29:BE:2F:23_-81,,,,,,,,,,,,,
32,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:2D:4A_-72,7C:66:9D:7B:2D:4A_-72,BC:6A:29:BE:2F:76_-71,,,,,,,,,,,
33,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F6:65_-79,,,,,,,,,,,,,
34,BC:6A:29:BE:2F:23_-69,6C:EC:EB:1F:F6:76_-80,BC:6A:29:BE:2F:23_-68,,,,,,,,,,,,
35,7C:66:9D:7B:2B:9F_-79,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,7C:66:9D:7B:29:FB_-87,BC:6A:29:BE:2F:23_-64,6C:EC:EB:1F:F6:55_-90,7C:66:9D:7B:29:FB_-87,7C:66:9D:7B:29:FB_-86,6C:EC:EB:1F:FD:83_-81,,,,,,,,,
38,,,,,,,,,,,,,,,
39,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F4:74_-68,7C:66:9D:7B:2B:9F_-77,,,,,,,,,,,,
40,7C:66:9D:7B:2B:9F_-78,6C:EC:EB:1F:F4:74_-87,6C:EC:EB:1F:F4:46_-76,BC:6A:29:BE:2F:23_-81,6C:EC:EB:1F:F6:65_-78,,,,,,,,,,
41,BC:6A:29:BE:31:57_-63,6C:EC:EB:1F:F6:15_-92,,,,,,,,,,,,,
42,6C:EC:EB:1F:F4:46_-85,7C:66:9D:7B:2B:90_-63,6C:EC:EB:1F:F6:26_-88,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:F6:26_-86,7C:66:9D:7B:29:FB_-63,,,,,,,,,
43,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,,,,,,,,,,,,,
44,6C:EC:EB:1F:F6:76_-89,,,,,,,,,,,,,,
45,7C:66:9D:7B:2B:9F_-76,7C:66:9D:7B:29:FB_-77,6C:EC:EB:1F:F4:74_-81,7C:66:9D:7B:2B:9F_-75,7C:66:9D:7B:29:FB_-78,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:F6:76_-72,,,,,,,,
46,7C:66:9D:7B:29:FB_-68,6C:EC:EB:1F:F6:76_-92,7C:66:9D:7B:29:FB_-68,BC:6A:29:BE:2F:76_-86,,,,,,,,,,,
47,6C:EC:EB:1F:F6:55_-86,7C:66:9D:7B:2B:9F_-71,7C:66:9D:7B:29:FB_-75,6C:EC:EB:1F:FD:9B_-91,6C:EC:EB:1F:F4:46_-81,,,,,,,,,,
48,7C:66:9D:7B:29:FB_-88,6C:EC:EB:1F:F6:24_-79,BC:6A:29:BE:2F:23_-80,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,
49,BC:6A:29:BE:2F:76_-79,7C:66:9D:7B:29:FA_-71,BC:6A:29:BE:2F:76_-78,7C:66:9D:7B:2D:4A_-65,,,,,,,,,,,
50,7C:66:9D:7B:29:FB_-82,7C:66:9D:7B:2D:4A_-86,,,,,,,,,,,,,
51,6C:EC:EB:1F:F6:24_-82,,,,,,,,,,,,,,
52,6C:EC:EB:1F:F6:65_-80,7C:66:9D:7B:2B:90_-62,6C:EC:EB:1F:F6:55_-80,6C:EC:EB:1F:F6:26_-80,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:26_-79,BC:6A:29:BE:31:57_-86,6C:EC:EB:1F:F6:2D_-85,6C:EC:EB:1F:FD:83_-82,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,6C:EC:EB:1F:F6:26_-81,,,
53,6C:EC:EB:1F:FD:9B_-91,6C:EC:EB:1F:F4:74_-90,6C:EC:EB:1F:FD:83_-73,7C:66:9D:7B:29:FB_-72,,,,,,,,,,,
54,BC:6A:29:BE:31:57_-84,6C:EC:EB:1F:FD:9B_-88,BC:6A:29:BE:2F:23_-93,,,,,,,,,,,,
55,7C:66:9D:7B:2B:9F_-71,6C:EC:EB:1F:F6:76_-65,6C:EC:EB:1F:FD:83_-71,7C:66:9D:7B:2B:9F_-71,6C:EC:EB:1F:FD:83_-74,7C:66:9D:7B:29:FB_-86,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:F6:65_-81,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F4:74_-77,6C:EC:EB:1F:F6:24_-81,,,,
56,6C:EC:EB:1F:F6:76_-86,7C:66:9D:7B:29:FB_-71,6C:EC:EB:1F:FD:83_-75,6C:EC:EB:1F:F6:24_-86,6C:EC:EB:1F:F4:46_-91,BC:6A:29:BE:2F:23_-69,6C:EC:EB:1F:F4:46_-93,,,,,,,,
57,6C:EC:EB:1F:FD:83_-73,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F6:76_-82,6C:EC:EB:1F:F6:76_-81,,,,,,,,,,,
58,6C:EC:EB:1F:F6:65_-72,6C:EC:EB:1F:F6:24_-80,,,,,,,,,,,,,
59,7C:66:9D:7B:2B:90_-69,BC:6A:29:BE:31:57_-58,7C:66:9D:7B:29:FA_-70,BC:6A:29:BE:2F:76_-85,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:29:FB_-80,,,,,,,,,
60,BC:6A:29:BE:31:57_-90,BC:6A:29:BE:31:57_-89,BC:6A:29:BE:31:57_-88,,,,,,,,,,,,
