,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,
1,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,,,,,,,,,,
2,6C:EC:EB:1F:F4:74_-62,,,,,,,,,,,,,,
3,BC:6A:29:BE:31:57_-62,,,,,,,,,,,,,,
4,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:26_-81,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-69,7C:66:9D:7B:29:FB_-69,,,,,,,,,
5,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,,,
6,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F6:26_-88,,,,,,,,,,,,
7,7C:66:9D:7B:29:FB_-62,7C:66:9D:7B:29:FB_-62,BC:6A:29:BE:2F:23_-70,7C:66:9D:7B:29:FB_-62,,,,,,,,,,,
8,7C:66:9D:7B:2D:4A_-77,7C:66:9D:7B:2D:4A_-77,7C:66:9D:7B:2D:4A_-77,7C:66:9D:7B:2D:4A_-77,,,,,,,,,,,
9,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,,,
10,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:FD:83_-82,,,,,,,,,,,,,
11,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,,,,,
12,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,BC:6A:29:BE:31:57_-60,,,,,,,,,,,
13,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F4:74_-80,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,
14,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,,,,,,,,,,,,
15,BC:6A:29:BE:2F:76_-66,,,,,,,,,,,,,,
