,total_mask_num,match_num,match_ratio
0,3,0,0.0
1,5,1,0.2
2,1,0,0.0
3,1,1,1.0
4,6,1,0.16666666666666666
5,6,2,0.3333333333333333
6,3,2,0.6666666666666666
7,4,2,0.5
8,4,0,0.0
9,3,0,0.0
10,2,0,0.0
11,1,0,0.0
12,4,0,0.0
13,8,1,0.125
14,3,0,0.0
15,1,0,0.0
16,5,1,0.2
17,7,2,0.2857142857142857
18,2,0,0.0
19,1,0,0.0
20,2,0,0.0
21,1,0,0.0
22,8,1,0.125
23,4,0,0.0
24,4,1,0.25
25,4,0,0.0
26,2,0,0.0
27,3,0,0.0
28,11,3,0.2727272727272727
29,6,1,0.16666666666666666
30,12,1,0.08333333333333333
31,3,1,0.3333333333333333
32,3,1,0.3333333333333333
33,1,0,0.0
34,4,0,0.0
35,3,1,0.3333333333333333
36,2,0,0.0
37,4,1,0.25
38,1,1,1.0
39,0,0,NAN
40,3,0,0.0
41,5,1,0.2
42,0,0,NAN
43,1,0,0.0
44,6,0,0.0
45,7,0,0.0
46,5,0,0.0
47,8,0,0.0
48,5,0,0.0
49,4,2,0.5
50,3,1,0.3333333333333333
51,1,0,0.0
52,6,1,0.16666666666666666
53,5,1,0.2
54,1,1,1.0
55,7,0,0.0
56,5,0,0.0
57,5,1,0.2
58,5,3,0.6
59,1,0,0.0
60,4,1,0.25
61,7,2,0.2857142857142857
62,2,0,0.0
63,1,0,0.0
64,5,0,0.0
65,1,0,0.0
66,2,1,0.5
67,2,1,0.5
68,3,1,0.3333333333333333
69,7,1,0.14285714285714285
70,2,2,1.0
71,5,1,0.2
72,5,0,0.0
73,8,1,0.125
74,3,3,1.0
75,5,2,0.4
76,8,1,0.125
77,2,0,0.0
78,5,0,0.0
79,4,0,0.0
80,4,2,0.5
81,4,1,0.25
82,2,0,0.0
83,2,1,0.5
84,6,0,0.0
85,6,1,0.16666666666666666
86,5,2,0.4
87,7,1,0.14285714285714285
88,1,0,0.0
89,6,1,0.16666666666666666
90,2,1,0.5
91,2,0,0.0
92,3,2,0.6666666666666666
93,8,1,0.125
94,4,1,0.25
95,2,1,0.5
96,5,1,0.2
97,8,0,0.0
98,8,1,0.125
99,3,1,0.3333333333333333
100,1,1,1.0
101,1,0,0.0
102,4,0,0.0
103,6,1,0.16666666666666666
104,2,1,0.5
105,1,0,0.0
106,2,0,0.0
107,5,0,0.0
108,3,0,0.0
109,2,0,0.0
110,2,1,0.5
111,3,1,0.3333333333333333
112,4,0,0.0
113,4,0,0.0
114,1,0,0.0
115,5,1,0.2
116,4,1,0.25
117,4,0,0.0
118,4,0,0.0
119,5,0,0.0
120,6,0,0.0
121,3,1,0.3333333333333333
122,4,1,0.25
123,3,0,0.0
124,1,0,0.0
125,3,0,0.0
126,0,0,NAN
127,2,0,0.0
128,2,0,0.0
129,4,2,0.5
130,7,1,0.14285714285714285
131,11,1,0.09090909090909091
132,6,0,0.0
133,2,1,0.5
134,6,0,0.0
135,5,2,0.4
136,10,0,0.0
137,3,0,0.0
138,2,1,0.5
139,4,0,0.0
140,3,1,0.3333333333333333
141,4,0,0.0
142,0,0,NAN
143,1,1,1.0
144,1,0,0.0
145,1,1,1.0
146,2,0,0.0
147,5,2,0.4
148,4,1,0.25
149,4,1,0.25
150,6,2,0.3333333333333333
151,0,0,NAN
152,6,1,0.16666666666666666
153,3,1,0.3333333333333333
154,1,0,0.0
155,6,0,0.0
156,4,0,0.0
157,6,1,0.16666666666666666
158,3,1,0.3333333333333333
159,2,0,0.0
160,6,0,0.0
161,3,0,0.0
162,6,2,0.3333333333333333
163,0,0,NAN
164,3,0,0.0
165,6,1,0.16666666666666666
166,4,1,0.25
167,2,1,0.5
168,3,0,0.0
169,2,0,0.0
170,4,0,0.0
171,4,1,0.25
172,1,1,1.0
173,0,0,NAN
174,4,0,0.0
175,4,1,0.25
176,3,0,0.0
177,6,0,0.0
178,7,0,0.0
179,4,0,0.0
180,4,1,0.25
181,2,0,0.0
182,2,0,0.0
183,8,0,0.0
184,2,0,0.0
185,1,0,0.0
186,2,0,0.0
187,8,1,0.125
188,6,0,0.0
189,1,0,0.0
190,7,1,0.14285714285714285
191,4,0,0.0
192,3,1,0.3333333333333333
