,0,1,2,3,4,5,6,7,8,9,10,11
0,7C:66:9D:7B:29:FB_-63,7C:66:9D:7B:29:FB_-63,,,,,,,,,,
1,7C:66:9D:7B:2B:90_-78,7C:66:9D:7B:2B:90_-78,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:90_-78,7C:66:9D:7B:2B:90_-78,7C:66:9D:7B:2B:90_-78,7C:66:9D:7B:2B:90_-78,,,,,
2,6C:EC:EB:1F:F4:74_-62,,,,,,,,,,,
3,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,,,,,,,,,
4,7C:66:9D:7B:29:FB_-62,BC:6A:29:BE:31:57_-63,7C:66:9D:7B:29:FB_-63,7C:66:9D:7B:29:FB_-63,6C:EC:EB:1F:F6:15_-74,7C:66:9D:7B:29:FB_-63,,,,,,
5,6C:EC:EB:1F:F4:46_-67,6C:EC:EB:1F:F4:46_-67,6C:EC:EB:1F:F4:46_-67,,,,,,,,,
6,7C:66:9D:7B:2B:9F_-73,6C:EC:EB:1F:F6:26_-83,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,,,,,,
7,BC:6A:29:BE:2F:23_-70,,,,,,,,,,,
8,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,,,,,,,,,
9,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:46_-73,,,,,,,
10,BC:6A:29:BE:2F:23_-82,BC:6A:29:BE:2F:23_-82,BC:6A:29:BE:2F:23_-82,,,,,,,,,
11,6C:EC:EB:1F:F4:74_-77,,,,,,,,,,,
12,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:26_-74,,,,,,,,,,
13,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,,,,,,,,,
14,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-74,,,,,,,,,
15,BC:6A:29:BE:2F:76_-67,7C:66:9D:7B:29:FA_-70,BC:6A:29:BE:2F:76_-67,,,,,,,,,
16,7C:66:9D:7B:29:FB_-71,7C:66:9D:7B:29:FB_-71,7C:66:9D:7B:29:FB_-71,,,,,,,,,
17,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,,,,,,,,
18,6C:EC:EB:1F:FD:9B_-88,6C:EC:EB:1F:FD:9B_-88,BC:6A:29:BE:2F:23_-64,6C:EC:EB:1F:F4:46_-89,,,,,,,,
