,0,1,2,3,4,5,6,7,8,9,10,11
0,6C:EC:EB:1F:FD:83_-75,BC:6A:29:BE:31:57_-71,,,,,,,,,,
1,7C:66:9D:7B:2B:90_-78,7C:66:9D:7B:29:FA_-79,6C:EC:EB:1F:F6:65_-100,6C:EC:EB:1F:FD:9B_-81,6C:EC:EB:1F:F6:24_-93,7C:66:9D:7B:29:FA_-79,BC:6A:29:BE:2F:23_-82,,,,,
2,6C:EC:EB:1F:F4:46_-86,,,,,,,,,,,
3,BC:6A:29:BE:31:57_-62,BC:6A:29:BE:31:57_-62,7C:66:9D:7B:29:FA_-78,,,,,,,,,
4,6C:EC:EB:1F:F6:26_-82,6C:EC:EB:1F:F6:15_-80,BC:6A:29:BE:31:57_-69,7C:66:9D:7B:29:FB_-69,BC:6A:29:BE:2F:23_-86,7C:66:9D:7B:29:FB_-70,,,,,,
5,6C:EC:EB:1F:F6:26_-93,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:9F_-74,,,,,,,,,
6,6C:EC:EB:1F:F4:46_-82,6C:EC:EB:1F:F6:26_-83,BC:6A:29:BE:2F:23_-75,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:29:FB_-89,BC:6A:29:BE:2F:23_-75,,,,,,
7,6C:EC:EB:1F:F6:26_-94,,,,,,,,,,,
8,BC:6A:29:BE:31:57_-75,BC:6A:29:BE:31:57_-75,7C:66:9D:7B:29:FA_-66,,,,,,,,,
9,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F6:24_-86,7C:66:9D:7B:2B:9F_-79,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F6:26_-80,,,,,,,
10,BC:6A:29:BE:2F:23_-82,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F4:74_-75,,,,,,,,,
11,BC:6A:29:BE:2F:23_-73,,,,,,,,,,,
12,6C:EC:EB:1F:F6:2D_-90,6C:EC:EB:1F:F6:26_-74,,,,,,,,,,
13,7C:66:9D:7B:29:FB_-92,BC:6A:29:BE:2F:23_-84,7C:66:9D:7B:2B:90_-82,,,,,,,,,
14,6C:EC:EB:1F:F6:26_-90,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F6:76_-80,,,,,,,,,
15,BC:6A:29:BE:2F:76_-67,7C:66:9D:7B:29:FA_-70,7C:66:9D:7B:2D:4A_-66,,,,,,,,,
16,7C:66:9D:7B:2B:90_-73,7C:66:9D:7B:29:FB_-73,7C:66:9D:7B:29:FB_-72,,,,,,,,,
17,7C:66:9D:7B:2B:9F_-79,7C:66:9D:7B:2B:9F_-79,6C:EC:EB:1F:F6:24_-81,6C:EC:EB:1F:F6:65_-71,,,,,,,,
18,BC:6A:29:BE:2F:23_-65,6C:EC:EB:1F:F6:24_-73,BC:6A:29:BE:2F:23_-64,6C:EC:EB:1F:F4:46_-82,,,,,,,,
19,BC:6A:29:BE:2F:76_-79,7C:66:9D:7B:29:FB_-83,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,
20,7C:66:9D:7B:29:FA_-70,,,,,,,,,,,
21,BC:6A:29:BE:31:57_-58,7C:66:9D:7B:29:FA_-72,BC:6A:29:BE:2F:76_-87,,,,,,,,,
