error_distance,point_reference_tag
1.0003086664632919,7
1.0003955551494228,2
1.0005158990241834,8
1.0005287301477614,2
1.0005576795807118,9
1.000577783997313,10
1.000622342528754,8
1.0006486949372249,6
1.0006893571518896,11
1.0007757173974634,18
1.0008409586037503,2
1.0009599840776062,15
1.0010019569956883,10
1.0010651273973568,3
1.0011247765364528,7
1.0012269177132174,19
1.00140038834586,8
1.0015829347955778,5
1.00165305105323,10
1.0017170323329092,9
1.0017289777299423,6
1.0017337661905723,19
1.0017516564384186,2
1.001766435239684,14
1.0019822308048123,7
1.0020604890117863,5
1.0021563063783718,20
1.0021885934085382,5
1.0022514999927448,17
1.00229838139225,6
1.0023355992601752,4
1.0026353671001038,2
1.0027408657808812,3
1.0027933503940962,4
1.0029798000737222,3
1.0029885230804227,1
1.0030129227220497,13
1.003042395717665,10
1.0030828598272488,10
1.003088923245411,19
1.0031146719039779,3
1.0031570342626253,15
1.0031650515927515,4
1.0031829421412595,2
1.0032731865847337,8
1.0035405700061926,19
1.0035928117109252,6
1.0036266870413948,3
1.0036893046762096,14
1.0040099233846234,11
1.004090213563203,15
1.004114345872032,7
1.0041663545199202,12
1.0042748482899664,15
1.0042788703310392,4
1.0042910688697289,10
1.0042929175989221,4
1.004295439984211,3
1.0043142027494167,17
1.0046657497809652,7
1.0046705805125007,2
1.004715285015022,12
1.00485955719125,7
1.0048833180002372,1
1.0049615417705484,3
1.0050112324949143,7
1.0051436065572241,3
1.005249914220963,10
1.0054232584996752,13
1.0054859066054804,7
1.0056568087055942,5
1.005690704362851,5
1.0056926261751133,20
1.005774435942125,1
1.0058974948923378,5
1.0059638050876707,8
1.0061339587488107,16
1.006147859951957,7
1.0061481387310358,19
1.0062749947587053,12
1.0062796613670077,5
1.0063395067359597,9
1.0064064954543204,13
1.006423811390916,2
1.00676040829019,16
1.006765530119299,3
1.0067734294637403,1
1.006792749059986,5
1.0068407354731297,15
1.0068973974005777,2
1.0070188625356709,3
1.0070258605074163,14
1.0071434386364375,10
1.0072810532463283,15
1.0073515723221407,3
1.0073923552213548,2
1.007460773685099,4
1.007477029473444,6
1.007601770583103,6
1.0076955777919938,1
1.0077330235078028,9
1.00786931505277,20
1.0080578316780697,19
1.0080665800040798,8
1.0082649827115118,8
1.008283134922619,16
1.0083518460536358,10
1.0083726791998586,20
1.0084095122171224,3
1.0084833513405953,3
1.0085389655205037,2
1.008677268442849,8
1.0087678880819313,14
1.008796370068674,8
1.0088360252005037,1
1.009006389523317,10
1.0090181155338824,17
1.0090931008118296,13
1.0091617998819093,14
1.0091801225125432,14
1.0091953560905547,15
1.0091990978624148,6
1.0093198414624673,20
1.0093343102977348,5
1.0093566619077967,7
1.0093948798219128,2
1.0094397396477883,2
1.009650090809686,6
1.0097450066362526,3
1.0097527173870935,9
1.0098918614671113,1
1.0099495915146812,12
1.0099646548422423,8
1.0101115219064063,11
1.010425007171087,6
1.0104268079383336,13
1.010459901041521,6
1.0104740913685908,17
1.0105167817301963,16
1.0105448352052,13
1.0105718019333025,19
1.0106643387197338,2
1.0108209084996176,17
1.0108712244740934,16
1.010885918837606,7
1.0108925938406617,4
1.010910353035894,13
1.0109927297276644,4
1.011062134659266,15
1.011065720397961,10
1.0110702594965566,12
1.0111034594222341,4
1.0111257783213072,4
1.0111394320738165,6
1.0111464082232275,4
1.011350750814792,3
1.0113778035591403,5
1.011452127783144,8
1.011467623492676,7
1.0115272392968422,10
1.011734788046008,20
1.011776198585793,7
1.011862220497854,1
1.0118783620644807,13
1.0120177502750358,1
1.0120835609727403,1
1.01210409717702,13
1.0121515257087215,3
1.0121770932694314,5
1.0123889056309314,5
1.0124856079204805,2
1.012521668922394,11
1.0125404220952465,1
1.0129323140713677,10
1.0129626291091105,6
1.0129646478306376,16
1.0130794437340258,9
1.0130947796893028,10
1.0131370216451228,3
1.013222573267168,9
1.0132424910433873,16
1.0132641278867873,9
1.0133277387350204,3
1.0133973810006633,17
1.0134904415345714,6
1.0135724154772747,14
1.0137332885020365,19
1.0138092440598372,17
1.013817864285032,11
1.014035612607946,12
1.014113161928169,17
1.014192253257131,13
1.0143089267538248,7
1.0143858941822734,2
1.0144086079838368,4
1.014450312912524,10
1.0144869824669667,11
1.0145050652969267,1
1.0145649291215553,10
1.0147459313469647,19
1.0147866622936106,4
1.0148342749728192,11
1.0148353746049108,10
1.0148409104166833,20
1.0148452144529827,12
1.0149047818644885,3
1.015028021092235,15
1.0151949656029478,12
1.015245617999557,5
1.015367081733644,3
1.015371699021273,7
1.0153720811759863,8
1.015389970338749,13
1.0154094130283857,6
1.0154829881616203,7
1.0155239468247985,8
1.015609175724503,12
1.0157412161202601,9
1.0158150899282492,3
1.0161872224295194,17
1.0162143745760897,17
1.0162764246217102,3
1.0163027804565852,2
1.0163293382853744,3
1.0163727187663076,8
1.016482158526878,4
1.0167133105889745,7
1.0167219792450355,2
1.016733726819777,2
1.0167456733204947,20
1.0169310539488092,14
1.0169905716246073,14
1.0170308914065938,7
1.0171888248700096,1
1.0172654522384632,5
1.01747620483259,3
1.0176301044798368,9
1.017631640040441,13
1.0177838865309516,19
1.0178387782759495,8
1.017841821889287,7
1.0179454307263935,3
1.0181021544657796,12
1.0181853891035144,3
1.0182184414088917,11
1.0183843690507437,7
1.0184179297729214,2
1.0185146148116349,16
1.0187053353687368,10
1.0187351356212007,2
1.018943878634711,19
1.019030206291736,1
1.0191803095724525,15
1.0192166293246006,8
1.0192624906156018,9
1.0192734803547494,6
1.019325518933169,3
1.0194850378803664,12
1.0195035205200182,6
1.0195615540574876,8
1.0196143320908448,2
1.019672394253527,20
1.019678765168257,3
1.0197370808518516,20
1.019775515309417,5
1.0198410263633548,5
1.0199320908501763,11
1.0199539313112582,17
1.0202197334837255,2
1.0202556452271194,15
1.0203370762628783,12
1.020482075366666,12
1.020540506650676,19
1.0205642851214638,6
1.0205868443458874,17
1.0206001316951079,3
1.0206765075439341,7
1.0207638347813563,19
1.0208193823379859,17
1.020857172755755,19
1.020888926737377,11
1.0209814688098167,3
1.021152011457154,11
1.0212165587698718,8
1.021539231685384,13
1.0215922280470662,7
1.0216833247995243,17
1.0217352362881706,5
1.0217893664555158,16
1.0218045125495565,7
1.021805564071257,3
1.0218624092620425,19
1.0219824669103414,13
1.0221024506871181,11
1.0221081583477163,2
1.022113496231515,13
1.022131042213979,12
1.0222738434880263,6
1.0225038822590524,3
1.022560861862183,2
1.0225824550397,12
1.0228120232798552,13
1.0230335276835916,1
1.0230372920033237,3
1.0231406812470463,2
1.0231710134556362,9
1.0232388872642701,18
1.0232986264947401,9
1.0233522446577525,4
1.0234804422310395,5
1.023789768663121,5
1.0238811805311125,19
1.0241629227825042,13
1.024274260066575,9
1.0244150766809688,6
1.0244162565727937,14
1.0244808547534472,10
1.0245962257508614,8
1.0247073841783545,15
1.0249989322181692,15
1.0252676073890215,3
1.0252823465118839,20
1.0253078551116568,14
1.0255114170857536,7
1.0255499610936725,1
1.0256654590673462,11
1.0259417899566239,17
1.0259725195612301,6
