error_distance,point_reference_tag
1.0000477495512305,8
1.0000660502837868,19
1.0000759416569833,4
1.0001836314484815,1
1.0004929729435414,4
1.0005146673956486,19
1.000676393935409,4
1.0008891003528917,4
1.0013012194927664,1
1.0015609940030399,19
1.0015635621297485,4
1.0023644997129544,6
1.0029645428948883,4
1.0032544917539246,6
1.0033793424689874,19
1.0034358251007232,19
1.0036084591806083,15
1.0039490556570825,9
1.0041338338664207,20
1.0044888971278418,15
1.0048128163476107,19
1.0050545965178161,4
1.0051088925464131,15
1.005169394343908,1
1.0051872974254483,19
1.0053663615760977,13
1.00571917536662,4
1.0062985034584286,15
1.0070823387378416,15
1.0073698673675178,5
1.0076727189226795,15
1.0078002974947915,15
1.0079829015487736,4
1.008138707739176,8
1.0082277582690664,4
1.0082494502273067,19
1.0085903215881133,7
1.0093232778179695,10
1.009458426605887,5
1.0096091826835523,8
1.0098180902702907,10
1.0098204053463244,4
1.0101218293069762,16
1.0101881290934416,5
1.0103193304910827,3
1.0104082498814184,13
1.010938469613147,3
1.0110244017340273,6
1.0112207394268742,15
1.01150740662559,6
1.0115831766040315,14
1.01180277655755,3
1.0118737851380628,3
1.0120594371651968,8
1.0127872071109556,5
1.0141976641582175,3
1.015588488875483,13
1.0157774592403077,9
1.0159331752231706,19
1.0159993419751052,4
1.0160331820254238,14
1.016425127557946,3
1.0165704903929234,15
1.0166961835112196,19
1.0172461882724815,6
1.0172931480456715,15
1.0173508557362545,6
1.0178213533759242,15
1.0180829203103965,3
1.0181741606261578,13
1.0183999168387798,18
1.0186927058714967,14
1.0188312186299566,3
1.018979752207875,19
1.0192342117531847,2
1.0193639216196537,19
1.019648839355247,19
1.0197569479351956,15
1.0200226213637862,3
1.0206421500433254,15
1.0207974111949536,20
1.0207997400133126,19
1.0208713551859023,16
1.021325662230605,20
1.0218261858458146,20
1.0221358676851684,6
1.0226082887572703,17
1.022705180863018,20
1.0230633797094502,6
1.0234168234990477,14
1.0234306850737878,17
1.023586492792202,13
1.0241405550534721,9
1.0241739176952582,3
1.0244293353617093,15
1.024660843188614,6
1.0253020866377767,5
1.0256322189574283,5
1.026311176478517,19
1.0266603896373663,20
1.0269865318650124,8
1.0270523030566896,17
1.0275628760596192,5
1.0279725271574047,2
1.0279789030260809,5
1.0281616698359222,13
1.028429006586639,4
1.028475048059864,4
1.029087399789183,10
1.0292732638881255,19
1.0296845729349136,20
1.029908153132146,14
1.0306214144677281,19
1.0307165409704226,19
1.0313322238267377,14
1.0314349273410397,15
1.0314684019182745,5
1.031977471745623,19
1.0324135621346797,19
1.032652979784619,10
1.0329998697717757,10
1.0332997439467264,19
1.0333774082592435,20
1.0335614890462208,15
1.0338306545662181,1
1.0340117648508522,14
1.034033125022914,5
1.0341071888415365,19
1.034319340922559,17
1.0348806693729748,2
1.0354112279566996,3
1.0355033298529566,6
1.0358984424732272,20
1.0361818328210444,15
1.036239666110351,19
1.0363238116325535,15
1.0363774764615417,15
1.0367182659425664,7
1.0374056612424187,5
1.0376271146467348,15
1.037909746196643,5
1.038523668789849,6
1.0385252326374934,7
1.0394426979057418,5
1.040066118620759,15
1.040152704245015,19
1.0406063617692538,4
1.0407679347247245,6
1.0410397378533942,19
1.0410802738861604,3
1.0428856346759818,19
1.0429679471322983,15
1.042987445812689,14
1.043104116235779,19
1.04350898090799,3
1.043718864601054,13
1.0438429594764165,6
1.0439887211927747,3
1.0441376541652119,4
1.044183921739704,20
1.0443210830570095,15
1.0444687619363668,13
1.0445908927820875,2
1.0457697702832214,15
1.0457772914803671,19
1.0460814922958137,6
1.046131029282238,15
1.0462271306269304,19
1.0463091149966828,19
1.0466931491726394,4
1.0467558743923262,6
1.046826562793703,19
1.0469472259513948,15
1.0476129101680862,3
1.047872309691276,20
1.0481474431836786,15
1.0488022884030406,19
1.0491114368599486,15
1.0494515289402482,6
1.0494774330726087,7
1.049623468146848,6
1.049946045406312,1
1.0507571706006313,19
1.0512036586557534,19
1.0523042580266213,9
1.0529500423521851,5
1.0530989504955677,19
1.0532533958851726,1
1.0532761171771283,2
1.0538755764274828,7
1.0540893061138592,17
1.054136731848614,5
1.05423318838107,5
1.0545554650385434,7
1.054563596504584,15
1.0557320964423962,3
1.0558278122966889,4
1.0558507379746207,15
1.055922592847575,15
1.0562226526566032,1
1.0564009019275693,8
1.0566425568930906,3
1.0567050053686893,19
1.057558970542231,3
1.0575841507000958,7
1.057987436935256,11
1.0588095349406779,6
1.0589979779315741,13
1.05933316168342,9
1.0596586687449978,3
1.0597700051820964,6
1.0604892865319977,15
1.0611432800296812,14
1.0612136662724714,15
1.061717252553799,14
1.0618716173794847,3
1.0622473109392492,19
1.0623071736496954,19
1.0630306817095858,13
1.0634395185337797,13
1.0636879033416937,15
1.0640006415958954,3
1.064360097655069,4
1.0651863176021545,5
1.065601145605766,15
1.0657401158672757,3
1.0661678007458308,4
1.0666505869562828,8
1.0671197135653674,19
1.0671263636235628,6
1.06762095511944,20
1.0679139213577242,13
1.0680297787624866,17
1.0680573703758602,13
1.0683119820338798,6
1.0684187974373454,17
1.0684932607903554,3
1.069790478089772,15
1.0698976362201953,5
1.0705396927520823,19
1.0710496200226398,4
1.0712399739552152,15
1.0712734783292224,8
1.0717485312136925,5
1.0718210913690223,15
1.0719927185136437,15
1.072167044548689,5
1.073042035543206,19
1.0732166129913507,3
1.0737131333536218,9
1.0740151828832518,15
1.074236360828199,9
1.074554951382833,4
1.0747353742851065,5
1.0747979911457692,19
1.0748454114664565,15
1.0749249532606817,9
1.0763182023967983,19
1.076420041050193,4
1.0764506792760775,4
1.076916246896515,6
1.0777130678845501,3
1.0784613681056532,10
1.0784770319776416,3
1.0786993768684723,14
1.0792843892446398,5
1.0794270250468683,19
1.0802195229973024,15
1.0806683371908612,6
1.080727810223936,3
1.081215120160655,10
1.0814672703953778,3
1.0816396904555334,5
1.0821975560963355,15
1.0825662241451957,13
1.0834010773111766,15
1.0834879300052154,15
1.084199161999327,19
1.0843162434177933,15
1.0845521596339447,15
1.0849862060153124,6
1.0851929087073995,20
1.0854360736455086,13
1.085642786009052,2
1.0860535282399448,4
1.086574444986716,6
1.0866268559466137,2
1.0873636958343056,4
1.0874203585460815,4
1.0879827810672253,3
1.0880953328273364,13
1.088262677483026,15
1.08870800110636,19
1.0897609894283666,19
1.0900358523902665,3
1.090096809782179,15
1.0903443469604397,19
1.0908873569397333,19
1.0908933721805039,19
1.0910940705715813,15
1.09139599604393,5
1.0915739009569252,13
1.091646708505651,19
1.092179872804254,19
1.0926474744760848,15
1.092782260387815,4
1.0930489760576438,10
1.0932080726734619,13
1.0936738814654998,18
1.0937992083038668,20
1.0938107532955996,15
1.0941117749862905,5
1.0946262330974865,19
1.0946279248109767,3
1.0946356365407546,17
1.0950571566213505,3
1.0950908280519502,15
1.0960068301354617,15
1.0970244556676194,19
1.0972035927103272,15
1.097814502997059,6
1.098007907229015,20
1.0987932929689248,15
1.0993010795584603,6
1.099365427985418,19
1.0999302687927162,16
1.1000450502575057,15
1.1004652270422441,3
1.1005247653424404,5
1.100790307930436,15
1.1012152824221402,15
1.101643278531074,15
1.1018193247997763,2
1.102003493751186,3
1.102312901092935,15
1.103092359015012,15
1.1033929477444293,19
1.1035349289494225,15
1.1039956913670363,19
1.1040950529695321,14
1.1068310699532788,3
1.1069701687565114,19
1.1073816630310198,4
1.1077639919864353,3
1.1080659042119696,4
1.1083000000995682,4
1.1083487974611432,14
1.108600182648539,4
1.1087900391260301,4
1.1094526544625607,15
1.1107332009062016,19
1.1117019675813442,19
1.11201654865581,15
1.1120542144929613,9
1.1121185849256447,13
1.1123464031922219,17
1.1125018173771963,20
1.1128112944610595,9
1.1131672512111237,2
1.1133104348158382,19
1.1133794633842014,6
1.1143428707529197,1
1.1149998669119148,8
1.1166449037681256,19
1.1168633925980174,5
1.1169291860738264,4
1.1176226745968108,19
1.1179499365536192,12
1.1180046104248191,13
1.1181291651011234,1
1.1185915550696275,4
1.1193597502584751,16
1.1194005524384156,20
1.1196592517760757,8
1.1205680639004083,13
1.1212132710835305,16
1.1213922509013867,8
1.121476757820227,9
1.1216797242714027,13
1.1217120301700712,15
1.1225937474683796,4
1.1233185752312915,15
1.123660427867879,6
1.123755364856568,4
1.124286775278207,19
1.1245317406379536,3
1.1246184033967586,18
1.1251732237627625,19
1.1253324058432908,8
1.1257661202319669,4
1.1262765050573718,19
1.126624657168984,19
1.126746716957347,3
1.1269550465579838,20
1.1270032056348966,8
1.1274168652014616,19
1.127988938822176,19
1.1290954172771894,13
1.1291750534377283,6
1.129320753407059,8
1.1297010772601923,6
1.1299057840921616,19
1.1300618361933112,5
1.1302468771967606,3
1.1303611020636797,5
1.1303955434104382,19
1.1310314233521896,15
1.1315084668192754,15
1.1315320683424783,13
1.131792858994256,15
1.1318930201229214,4
1.131927615850478,5
1.1319743843647694,19
1.1332364550323395,19
1.1332389660769802,6
1.1334430247492517,3
1.1344006029345117,15
1.134460561592191,4
1.1357081374261142,4
1.1358359271521408,15
1.1364256144587863,14
1.1365263056101578,16
1.136964044537094,4
1.13712747509922,6
1.1372220688462709,3
1.137249833892327,5
1.1379074753822283,19
1.1392075130022226,8
1.1392941599480204,15
1.14056460259239,20
1.1408930625656746,20
1.1414564207256856,20
1.141603742020728,15
1.1417833833989042,3
1.142230181352633,8
1.1436185399557726,20
1.144437909597941,4
1.1448117299706617,6
1.1451409534902568,15
1.1454107939452638,5
1.145583098211752,17
1.1457246823578644,4
