,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7C:66:9D:7B:29:FB_-63,,,,,,,,,,,,,,,
1,7C:66:9D:7B:29:FB_-70,6C:EC:EB:1F:FD:9B_-82,7C:66:9D:7B:29:FB_-70,,,,,,,,,,,,,
2,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:F4:74_-62,,,,,,,,,,,,,
3,BC:6A:29:BE:31:57_-62,,,,,,,,,,,,,,,
4,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,7C:66:9D:7B:29:FB_-70,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,BC:6A:29:BE:2F:23_-71,7C:66:9D:7B:29:FB_-89,BC:6A:29:BE:2F:23_-71,BC:6A:29:BE:2F:23_-71,,,,,,,,,,,,
7,7C:66:9D:7B:29:FB_-62,7C:66:9D:7B:29:FB_-62,7C:66:9D:7B:29:FB_-62,,,,,,,,,,,,,
8,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,,,,,,,,,,,,,,
9,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F6:24_-86,,,,,,,,,,,,,
10,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,6C:EC:EB:1F:F4:74_-76,,,,,,,,,,,,,
11,6C:EC:EB:1F:F6:65_-82,,,,,,,,,,,,,,,
12,7C:66:9D:7B:29:FA_-76,6C:EC:EB:1F:F6:55_-70,,,,,,,,,,,,,,
13,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,6C:EC:EB:1F:F4:74_-80,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,,,,,,,,,,,
14,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:F4:46_-78,6C:EC:EB:1F:FD:83_-83,6C:EC:EB:1F:F4:46_-78,,,,,,,,,,,,
15,7C:66:9D:7B:2D:4A_-66,7C:66:9D:7B:2B:90_-74,,,,,,,,,,,,,,
16,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,,,,,,,,,,,,,,
17,6C:EC:EB:1F:F6:65_-73,,,,,,,,,,,,,,,
18,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:F6:24_-73,6C:EC:EB:1F:F6:24_-73,,,,,,,,,,,
19,BC:6A:29:BE:2F:76_-79,BC:6A:29:BE:2F:76_-79,,,,,,,,,,,,,,
20,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:29:FA_-71,,,,,,,,,,,,,,
21,BC:6A:29:BE:31:57_-59,BC:6A:29:BE:31:57_-59,BC:6A:29:BE:31:57_-59,,,,,,,,,,,,,
22,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,BC:6A:29:BE:2F:23_-80,7C:66:9D:7B:2B:9F_-71,,,,,,,,,,,,
