,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,7C:66:9D:7B:29:FB_-63,7C:66:9D:7B:29:FB_-63,,,,,,,,,,,,,
1,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FD:9B_-82,7C:66:9D:7B:29:FB_-70,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FD:9B_-82,6C:EC:EB:1F:FD:9B_-82,,,,,,,,
2,6C:EC:EB:1F:F6:76_-88,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,7C:66:9D:7B:29:FB_-70,,,,,,,,,,,,,,
5,6C:EC:EB:1F:F4:46_-68,6C:EC:EB:1F:F4:46_-68,,,,,,,,,,,,,
6,BC:6A:29:BE:2F:23_-74,6C:EC:EB:1F:F4:46_-83,BC:6A:29:BE:2F:23_-74,BC:6A:29:BE:2F:23_-74,,,,,,,,,,,
7,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-69,BC:6A:29:BE:2F:23_-70,,,,,,,,,,,,
8,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,BC:6A:29:BE:2F:76_-72,,,,,,,,
9,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,,,
10,6C:EC:EB:1F:F4:46_-56,6C:EC:EB:1F:F4:46_-56,6C:EC:EB:1F:F4:46_-56,6C:EC:EB:1F:F4:46_-56,6C:EC:EB:1F:F4:46_-56,6C:EC:EB:1F:F4:46_-71,6C:EC:EB:1F:F4:46_-56,,,,,,,,
11,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F4:46_-71,,,,,,,,,,,,,
12,BC:6A:29:BE:31:57_-61,6C:EC:EB:1F:F6:24_-85,BC:6A:29:BE:31:57_-61,BC:6A:29:BE:31:57_-61,BC:6A:29:BE:31:57_-61,,,,,,,,,,
13,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,7C:66:9D:7B:2B:9F_-73,,,,,,,,,
14,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,,,,,,,,,,,,
15,7C:66:9D:7B:29:FA_-70,7C:66:9D:7B:2D:4A_-66,,,,,,,,,,,,,
16,7C:66:9D:7B:29:FB_-72,7C:66:9D:7B:29:FB_-72,,,,,,,,,,,,,
17,6C:EC:EB:1F:F6:65_-73,6C:EC:EB:1F:F6:65_-73,7C:66:9D:7B:2B:9F_-78,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F6:65_-73,6C:EC:EB:1F:F6:65_-73,BC:6A:29:BE:2F:23_-76,6C:EC:EB:1F:F6:65_-73,,,,,,,
18,6C:EC:EB:1F:F6:24_-72,7C:66:9D:7B:29:FB_-69,6C:EC:EB:1F:F6:24_-72,6C:EC:EB:1F:F6:24_-72,6C:EC:EB:1F:F6:24_-72,6C:EC:EB:1F:F6:24_-72,6C:EC:EB:1F:F6:24_-72,,,,,,,,
19,BC:6A:29:BE:31:57_-73,BC:6A:29:BE:31:57_-73,,,,,,,,,,,,,
20,7C:66:9D:7B:2D:4A_-66,,,,,,,,,,,,,,
21,BC:6A:29:BE:31:57_-59,,,,,,,,,,,,,,
22,6C:EC:EB:1F:F6:24_-81,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:F6:76_-78,,,,,,,,,,,,
23,7C:66:9D:7B:29:FA_-68,7C:66:9D:7B:29:FA_-68,,,,,,,,,,,,,
24,BC:6A:29:BE:31:57_-64,7C:66:9D:7B:2B:90_-74,7C:66:9D:7B:2B:90_-74,,,,,,,,,,,,
25,6C:EC:EB:1F:F6:65_-73,6C:EC:EB:1F:F6:65_-73,6C:EC:EB:1F:F6:65_-73,6C:EC:EB:1F:F6:65_-73,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,,,,,,,,,
26,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,7C:66:9D:7B:29:FB_-80,,,,,,,,,,,,
27,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,BC:6A:29:BE:2F:23_-68,,,,,,,,,,,
28,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F4:74_-82,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,6C:EC:EB:1F:F6:24_-71,,,,,
29,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F4:46_-78,7C:66:9D:7B:2B:9F_-72,7C:66:9D:7B:2B:9F_-72,,,,,,,,,,,
30,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:65_-78,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:F6:24_-77,6C:EC:EB:1F:FD:83_-76,,,,,,,
31,6C:EC:EB:1F:F4:46_-76,6C:EC:EB:1F:F4:46_-76,,,,,,,,,,,,,
32,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,
33,7C:66:9D:7B:2B:90_-80,7C:66:9D:7B:2B:90_-80,,,,,,,,,,,,,
34,6C:EC:EB:1F:F4:46_-70,6C:EC:EB:1F:FD:83_-69,6C:EC:EB:1F:F4:46_-70,,,,,,,,,,,,
35,7C:66:9D:7B:2B:9F_-78,7C:66:9D:7B:2B:9F_-78,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,7C:66:9D:7B:2B:9F_-80,BC:6A:29:BE:2F:23_-64,BC:6A:29:BE:2F:23_-64,,,,,,,,,
38,,,,,,,,,,,,,,,
39,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:F6:76_-78,,,,,,,,,,,,
40,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,6C:EC:EB:1F:F6:76_-63,,,,,,,,,,
41,7C:66:9D:7B:29:FB_-77,7C:66:9D:7B:29:FB_-77,,,,,,,,,,,,,
42,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,BC:6A:29:BE:2F:23_-69,7C:66:9D:7B:2B:90_-62,7C:66:9D:7B:2B:90_-62,,,,,,,,,
43,7C:66:9D:7B:2B:9F_-77,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,,,,
44,6C:EC:EB:1F:F4:74_-66,,,,,,,,,,,,,,
45,6C:EC:EB:1F:FD:83_-67,6C:EC:EB:1F:FD:83_-67,6C:EC:EB:1F:FD:83_-67,6C:EC:EB:1F:FD:83_-67,6C:EC:EB:1F:FD:83_-67,6C:EC:EB:1F:F6:65_-68,6C:EC:EB:1F:FD:83_-67,,,,,,,,
46,BC:6A:29:BE:31:57_-62,BC:6A:29:BE:31:57_-62,BC:6A:29:BE:31:57_-62,BC:6A:29:BE:31:57_-62,,,,,,,,,,,
47,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,BC:6A:29:BE:2F:23_-66,,,,,,,,,,
48,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-78,,,,,,,,,,
49,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-65,,,,,,,,,,,
50,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,,,,,,,,,,,,,
51,6C:EC:EB:1F:F6:24_-82,,,,,,,,,,,,,,
52,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,6C:EC:EB:1F:F6:55_-78,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,7C:66:9D:7B:29:FA_-80,,,
53,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,6C:EC:EB:1F:FD:83_-76,,,,,,,,,,,
54,BC:6A:29:BE:31:57_-84,7C:66:9D:7B:29:FA_-88,7C:66:9D:7B:29:FA_-88,,,,,,,,,,,,
55,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F4:46_-71,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,7C:66:9D:7B:2B:90_-83,BC:6A:29:BE:2F:23_-82,7C:66:9D:7B:2B:90_-83,,,,
56,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:F4:46_-91,6C:EC:EB:1F:FD:83_-78,6C:EC:EB:1F:F4:46_-93,,,,,,,,
57,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,6C:EC:EB:1F:F4:74_-56,,,,,,,,,,,
58,6C:EC:EB:1F:F6:76_-74,6C:EC:EB:1F:F6:76_-74,,,,,,,,,,,,,
59,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:2B:90_-69,7C:66:9D:7B:2B:90_-69,,,,,,,,,
60,7C:66:9D:7B:29:FA_-91,BC:6A:29:BE:31:57_-89,7C:66:9D:7B:29:FA_-91,,,,,,,,,,,,
61,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:55_-68,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F6:55_-68,,,,,,,
62,,,,,,,,,,,,,,,
63,BC:6A:29:BE:2F:76_-85,,,,,,,,,,,,,,
64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,7C:66:9D:7B:2B:9F_-64,,,,,,,,
65,6C:EC:EB:1F:F4:46_-70,6C:EC:EB:1F:F4:46_-70,,,,,,,,,,,,,
66,6C:EC:EB:1F:FD:83_-70,7C:66:9D:7B:29:FB_-80,6C:EC:EB:1F:F6:76_-87,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:FD:83_-70,,,,,,,,,
67,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:24_-76,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:55_-78,6C:EC:EB:1F:F6:55_-78,,,,,,,,
68,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,7C:66:9D:7B:2B:9F_-67,,,,,,,
69,7C:66:9D:7B:2B:9F_-74,,,,,,,,,,,,,,
70,BC:6A:29:BE:2F:23_-70,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:FD:83_-84,,,,,,,,,,,,
71,7C:66:9D:7B:29:FB_-79,7C:66:9D:7B:29:FB_-79,,,,,,,,,,,,,
72,7C:66:9D:7B:2B:9F_-80,7C:66:9D:7B:2B:9F_-80,7C:66:9D:7B:2B:9F_-80,7C:66:9D:7B:2B:9F_-80,7C:66:9D:7B:2B:9F_-80,,,,,,,,,,
73,6C:EC:EB:1F:F6:26_-69,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:65_-76,6C:EC:EB:1F:F6:65_-76,,,,,,,,,,,
74,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:46_-80,,,,,,,,,,,,
75,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,7C:66:9D:7B:2B:90_-66,,,,,,,,,,
76,6C:EC:EB:1F:F6:65_-68,7C:66:9D:7B:2B:90_-82,6C:EC:EB:1F:F6:24_-76,,,,,,,,,,,,
77,BC:6A:29:BE:31:57_-92,BC:6A:29:BE:2F:23_-74,BC:6A:29:BE:2F:23_-74,,,,,,,,,,,,
