,total_mask_num,match_num,match_ratio
0,2,1,0.5
1,7,1,0.14285714285714285
2,1,0,0.0
3,0,0,NAN
4,1,0,0.0
5,2,0,0.0
6,4,1,0.25
7,3,0,0.0
8,7,1,0.14285714285714285
9,3,1,0.3333333333333333
10,7,0,0.0
11,2,1,0.5
12,5,1,0.2
13,6,0,0.0
14,3,0,0.0
15,2,0,0.0
16,2,0,0.0
17,8,1,0.125
18,7,1,0.14285714285714285
19,2,0,0.0
20,1,0,0.0
21,1,0,0.0
22,3,1,0.3333333333333333
23,2,0,0.0
24,3,0,0.0
25,6,2,0.3333333333333333
26,3,1,0.3333333333333333
27,4,0,0.0
28,10,1,0.1
29,4,2,0.5
30,8,1,0.125
31,2,0,0.0
32,4,1,0.25
33,2,0,0.0
34,3,0,0.0
35,2,0,0.0
36,0,0,NAN
37,6,1,0.16666666666666666
38,0,0,NAN
39,3,0,0.0
40,5,0,0.0
41,2,0,0.0
42,6,0,0.0
43,2,1,0.5
44,1,0,0.0
45,7,1,0.14285714285714285
46,4,0,0.0
47,5,0,0.0
48,5,0,0.0
49,4,1,0.25
50,2,0,0.0
51,1,1,1.0
52,12,1,0.08333333333333333
53,4,0,0.0
54,3,1,0.3333333333333333
55,11,0,0.0
56,7,2,0.2857142857142857
57,4,1,0.25
58,2,0,0.0
59,6,2,0.3333333333333333
60,3,1,0.3333333333333333
61,8,1,0.125
62,0,0,NAN
63,1,0,0.0
64,7,2,0.2857142857142857
65,2,0,0.0
66,6,4,0.6666666666666666
67,7,0,0.0
68,8,0,0.0
69,1,0,0.0
70,3,0,0.0
71,2,0,0.0
72,5,0,0.0
73,4,1,0.25
74,3,0,0.0
75,5,0,0.0
76,3,1,0.3333333333333333
77,3,0,0.0
78,4,1,0.25
79,6,1,0.16666666666666666
80,2,0,0.0
81,11,1,0.09090909090909091
82,1,0,0.0
83,3,0,0.0
84,7,2,0.2857142857142857
85,4,1,0.25
86,9,0,0.0
87,6,0,0.0
88,2,1,0.5
89,8,0,0.0
90,4,0,0.0
91,3,0,0.0
92,3,0,0.0
93,6,0,0.0
94,2,0,0.0
95,2,0,0.0
96,6,2,0.3333333333333333
97,14,0,0.0
98,1,0,0.0
99,3,1,0.3333333333333333
100,0,0,NAN
101,3,1,0.3333333333333333
102,5,2,0.4
103,3,0,0.0
104,5,2,0.4
105,4,0,0.0
106,2,1,0.5
107,5,1,0.2
108,1,0,0.0
109,4,1,0.25
110,1,0,0.0
111,0,0,NAN
112,3,0,0.0
113,4,2,0.5
114,3,0,0.0
115,5,1,0.2
116,1,1,1.0
117,2,0,0.0
118,0,0,NAN
119,4,0,0.0
120,11,1,0.09090909090909091
121,1,0,0.0
122,2,0,0.0
123,3,1,0.3333333333333333
124,0,0,NAN
125,3,0,0.0
126,1,0,0.0
127,1,0,0.0
128,1,0,0.0
129,3,2,0.6666666666666666
130,4,0,0.0
131,5,0,0.0
132,8,1,0.125
133,3,2,0.6666666666666666
134,7,0,0.0
135,3,1,0.3333333333333333
136,4,1,0.25
137,0,0,NAN
138,1,0,0.0
139,6,0,0.0
140,4,1,0.25
141,2,0,0.0
142,5,3,0.6
143,1,0,0.0
144,0,0,NAN
145,1,0,0.0
146,3,0,0.0
147,4,1,0.25
148,7,1,0.14285714285714285
149,4,1,0.25
150,4,1,0.25
151,0,0,NAN
152,5,0,0.0
153,4,1,0.25
154,3,0,0.0
155,6,1,0.16666666666666666
156,3,1,0.3333333333333333
157,5,0,0.0
158,1,0,0.0
159,0,0,NAN
160,1,0,0.0
161,1,0,0.0
162,6,0,0.0
163,7,3,0.42857142857142855
164,4,0,0.0
165,4,0,0.0
166,2,1,0.5
167,4,0,0.0
168,5,0,0.0
169,2,0,0.0
170,6,1,0.16666666666666666
171,4,0,0.0
172,2,1,0.5
173,2,0,0.0
174,3,1,0.3333333333333333
