,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,6C:EC:EB:1F:F6:55_-78,BC:6A:29:BE:2F:23_-61,7C:66:9D:7B:29:FA_-79,,,,,,,,,,,,
1,6C:EC:EB:1F:F6:24_-93,6C:EC:EB:1F:FD:83_-91,BC:6A:29:BE:31:57_-83,7C:66:9D:7B:29:FA_-79,7C:66:9D:7B:29:FB_-70,,,,,,,,,,
2,7C:66:9D:7B:2B:9F_-88,,,,,,,,,,,,,,
3,BC:6A:29:BE:31:57_-62,,,,,,,,,,,,,,
4,6C:EC:EB:1F:F6:26_-82,6C:EC:EB:1F:F6:15_-80,6C:EC:EB:1F:F6:26_-81,6C:EC:EB:1F:F6:15_-78,BC:6A:29:BE:2F:23_-86,BC:6A:29:BE:2F:76_-90,,,,,,,,,
5,6C:EC:EB:1F:F4:46_-67,6C:EC:EB:1F:F4:46_-67,BC:6A:29:BE:2F:23_-78,BC:6A:29:BE:2F:23_-79,BC:6A:29:BE:2F:23_-78,7C:66:9D:7B:2B:9F_-74,,,,,,,,,
6,6C:EC:EB:1F:F4:46_-82,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F6:26_-88,,,,,,,,,,,,
7,6C:EC:EB:1F:F6:15_-88,7C:66:9D:7B:29:FB_-62,BC:6A:29:BE:2F:23_-70,6C:EC:EB:1F:F6:26_-94,,,,,,,,,,,
8,BC:6A:29:BE:2F:76_-72,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,7C:66:9D:7B:29:FA_-66,,,,,,,,,,,
9,6C:EC:EB:1F:F6:76_-78,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F6:24_-85,,,,,,,,,,,,
10,6C:EC:EB:1F:F6:65_-87,6C:EC:EB:1F:F6:76_-89,,,,,,,,,,,,,
11,BC:6A:29:BE:2F:23_-73,,,,,,,,,,,,,,
12,BC:6A:29:BE:2F:76_-85,6C:EC:EB:1F:F6:26_-75,6C:EC:EB:1F:F6:55_-72,BC:6A:29:BE:2F:23_-91,,,,,,,,,,,
