,0,1,2,3,4,5,6,7,8,9,10,11,12
0,6C:EC:EB:1F:F6:15_-84,6C:EC:EB:1F:F6:15_-91,6C:EC:EB:1F:FB:96_-95,,,,,,,,,,
1,6C:EC:EB:1F:FB:96_-93,7C:66:9D:7B:2B:90_-78,BC:6A:29:BE:2F:23_-81,6C:EC:EB:1F:FD:9B_-81,7C:66:9D:7B:29:FB_-70,,,,,,,,
2,6C:EC:EB:1F:F4:74_-62,6C:EC:EB:1F:F4:74_-62,BC:6A:29:BE:2F:23_-84,6C:EC:EB:1F:F4:74_-62,,,,,,,,,
3,BC:6A:29:BE:31:57_-62,7C:66:9D:7B:29:FA_-78,,,,,,,,,,,
4,BC:6A:29:BE:2F:23_-86,,,,,,,,,,,,
5,6C:EC:EB:1F:F6:26_-93,,,,,,,,,,,,
6,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:F6:26_-84,7C:66:9D:7B:29:FB_-89,6C:EC:EB:1F:F6:76_-75,6C:EC:EB:1F:F6:65_-65,,,,,,,,
7,,,,,,,,,,,,,
8,BC:6A:29:BE:31:57_-75,7C:66:9D:7B:29:FA_-66,,,,,,,,,,,
9,6C:EC:EB:1F:F6:76_-78,6C:EC:EB:1F:FD:83_-80,7C:66:9D:7B:2B:9F_-82,6C:EC:EB:1F:F4:46_-72,6C:EC:EB:1F:F6:24_-86,6C:EC:EB:1F:F4:74_-75,6C:EC:EB:1F:F4:46_-71,BC:6A:29:BE:2F:23_-86,6C:EC:EB:1F:F6:24_-82,6C:EC:EB:1F:F4:74_-74,6C:EC:EB:1F:F6:24_-85,6C:EC:EB:1F:F6:65_-84,
10,6C:EC:EB:1F:F6:65_-88,6C:EC:EB:1F:F6:76_-90,6C:EC:EB:1F:F6:24_-90,,,,,,,,,,
11,6C:EC:EB:1F:FD:83_-79,6C:EC:EB:1F:F6:24_-86,7C:66:9D:7B:2B:9F_-74,7C:66:9D:7B:2B:9F_-76,,,,,,,,,
12,6C:EC:EB:1F:F6:55_-69,7C:66:9D:7B:29:FA_-76,6C:EC:EB:1F:F6:55_-72,,,,,,,,,,
13,7C:66:9D:7B:2B:9F_-74,6C:EC:EB:1F:F4:74_-80,6C:EC:EB:1F:F6:76_-80,BC:6A:29:BE:2F:23_-84,6C:EC:EB:1F:F6:65_-57,6C:EC:EB:1F:F6:26_-77,,,,,,,
14,6C:EC:EB:1F:F6:76_-80,7C:66:9D:7B:2B:9F_-76,6C:EC:EB:1F:F4:74_-65,6C:EC:EB:1F:F4:46_-80,6C:EC:EB:1F:F4:74_-69,6C:EC:EB:1F:F6:76_-88,,,,,,,
