,total_mask_num,match_num,match_ratio
0,3,0,0.0
1,5,0,0.0
2,4,1,0.25
3,2,1,0.5
4,1,1,1.0
5,1,0,0.0
6,5,1,0.2
7,0,0,NAN
8,2,0,0.0
9,12,2,0.16666666666666666
10,3,0,0.0
11,4,1,0.25
12,3,0,0.0
13,6,0,0.0
14,6,1,0.16666666666666666
15,1,0,0.0
16,1,0,0.0
17,3,0,0.0
18,4,2,0.5
19,0,0,NAN
20,4,0,0.0
21,1,0,0.0
22,3,0,0.0
23,3,1,0.3333333333333333
24,2,1,0.5
25,4,0,0.0
26,3,1,0.3333333333333333
27,4,0,0.0
28,2,0,0.0
29,4,0,0.0
30,6,0,0.0
31,1,0,0.0
32,1,0,0.0
33,4,0,0.0
34,4,0,0.0
35,2,0,0.0
36,3,1,0.3333333333333333
37,3,0,0.0
38,0,0,NAN
39,5,0,0.0
40,3,0,0.0
41,3,0,0.0
42,3,0,0.0
43,1,0,0.0
44,2,0,0.0
45,5,0,0.0
46,2,1,0.5
47,1,0,0.0
48,3,1,0.3333333333333333
49,6,0,0.0
50,2,1,0.5
51,1,0,0.0
52,4,0,0.0
53,9,1,0.1111111111111111
54,4,0,0.0
55,5,1,0.2
56,9,1,0.1111111111111111
57,5,2,0.4
58,4,0,0.0
59,5,1,0.2
60,4,0,0.0
61,5,0,0.0
62,1,0,0.0
63,4,1,0.25
64,7,0,0.0
65,0,0,NAN
66,5,0,0.0
67,6,2,0.3333333333333333
68,2,0,0.0
69,3,0,0.0
70,4,0,0.0
71,10,0,0.0
72,5,0,0.0
73,6,0,0.0
74,3,0,0.0
75,3,0,0.0
76,1,1,1.0
77,3,0,0.0
78,2,1,0.5
79,4,1,0.25
80,2,0,0.0
81,5,0,0.0
82,2,1,0.5
83,3,0,0.0
84,3,0,0.0
85,3,0,0.0
86,5,2,0.4
87,4,1,0.25
88,3,0,0.0
89,6,0,0.0
90,1,0,0.0
91,4,0,0.0
92,0,0,NAN
93,5,1,0.2
94,4,0,0.0
95,5,1,0.2
96,3,1,0.3333333333333333
97,5,0,0.0
98,3,0,0.0
99,6,0,0.0
100,1,0,0.0
101,5,1,0.2
102,0,0,NAN
103,4,0,0.0
104,1,0,0.0
105,1,0,0.0
106,3,0,0.0
107,4,1,0.25
108,2,0,0.0
109,2,0,0.0
110,5,0,0.0
111,2,0,0.0
112,5,2,0.4
113,5,1,0.2
114,3,0,0.0
115,4,0,0.0
116,3,0,0.0
117,3,0,0.0
118,6,0,0.0
119,6,0,0.0
120,3,0,0.0
121,4,0,0.0
122,2,0,0.0
123,5,0,0.0
124,2,0,0.0
125,0,0,NAN
126,0,0,NAN
127,2,0,0.0
128,5,0,0.0
129,1,1,1.0
130,9,1,0.1111111111111111
131,6,1,0.16666666666666666
132,3,0,0.0
133,0,0,NAN
134,6,1,0.16666666666666666
135,5,0,0.0
136,1,0,0.0
137,5,0,0.0
138,0,0,NAN
139,4,0,0.0
140,3,0,0.0
141,3,0,0.0
142,2,0,0.0
143,0,0,NAN
144,4,0,0.0
145,2,0,0.0
146,5,1,0.2
147,4,0,0.0
148,4,1,0.25
149,2,1,0.5
150,2,0,0.0
151,2,0,0.0
152,5,0,0.0
153,4,0,0.0
154,5,0,0.0
155,6,1,0.16666666666666666
156,1,1,1.0
157,4,0,0.0
158,2,1,0.5
159,2,0,0.0
160,8,1,0.125
161,3,0,0.0
162,5,0,0.0
163,2,0,0.0
164,5,0,0.0
165,3,0,0.0
166,4,0,0.0
167,7,1,0.14285714285714285
168,2,0,0.0
169,1,0,0.0
170,3,1,0.3333333333333333
171,5,2,0.4
172,0,0,NAN
173,1,1,1.0
174,2,0,0.0
175,3,0,0.0
176,2,0,0.0
177,6,0,0.0
178,4,1,0.25
179,4,1,0.25
180,6,0,0.0
181,1,0,0.0
182,4,0,0.0
183,7,1,0.14285714285714285
184,3,0,0.0
185,6,1,0.16666666666666666
186,5,0,0.0
187,5,1,0.2
188,7,0,0.0
189,4,1,0.25
190,4,1,0.25
191,5,1,0.2
192,4,0,0.0
193,7,0,0.0
194,4,1,0.25
195,6,0,0.0
196,3,0,0.0
197,1,0,0.0
198,3,0,0.0
199,3,0,0.0
200,1,1,1.0
201,6,0,0.0
202,6,0,0.0
203,2,0,0.0
204,6,1,0.16666666666666666
205,3,0,0.0
206,6,0,0.0
207,5,2,0.4
208,4,0,0.0
209,1,0,0.0
210,3,1,0.3333333333333333
211,5,0,0.0
212,5,0,0.0
213,3,0,0.0
214,5,1,0.2
215,4,0,0.0
216,5,0,0.0
217,3,0,0.0
218,0,0,NAN
219,0,0,NAN
220,1,0,0.0
221,9,1,0.1111111111111111
222,3,1,0.3333333333333333
223,6,1,0.16666666666666666
224,1,0,0.0
225,2,0,0.0
226,1,0,0.0
227,3,0,0.0
228,3,1,0.3333333333333333
229,5,0,0.0
230,2,0,0.0
231,4,0,0.0
232,0,0,NAN
233,8,1,0.125
234,5,0,0.0
235,5,0,0.0
236,3,0,0.0
237,3,0,0.0
238,2,1,0.5
239,2,0,0.0
240,5,0,0.0
241,1,0,0.0
242,5,1,0.2
243,5,1,0.2
244,7,0,0.0
245,3,0,0.0
246,0,0,NAN
247,1,0,0.0
248,7,1,0.14285714285714285
249,6,1,0.16666666666666666
250,4,0,0.0
251,3,1,0.3333333333333333
252,1,0,0.0
253,3,0,0.0
254,4,0,0.0
255,5,0,0.0
256,4,1,0.25
257,5,0,0.0
258,7,1,0.14285714285714285
259,2,0,0.0
260,1,0,0.0
261,3,1,0.3333333333333333
262,0,0,NAN
263,1,0,0.0
264,7,1,0.14285714285714285
265,3,1,0.3333333333333333
266,1,0,0.0
267,4,0,0.0
268,6,1,0.16666666666666666
269,4,0,0.0
270,2,0,0.0
271,1,0,0.0
272,3,0,0.0
273,1,0,0.0
274,5,2,0.4
275,2,0,0.0
276,3,0,0.0
277,2,0,0.0
278,2,0,0.0
279,3,0,0.0
280,7,1,0.14285714285714285
281,6,0,0.0
282,0,0,NAN
283,4,1,0.25
284,5,1,0.2
285,3,0,0.0
286,3,1,0.3333333333333333
287,3,1,0.3333333333333333
288,4,1,0.25
289,4,1,0.25
290,4,0,0.0
291,1,1,1.0
292,6,0,0.0
293,2,1,0.5
294,1,0,0.0
295,1,0,0.0
296,3,0,0.0
297,5,0,0.0
298,2,0,0.0
299,8,1,0.125
300,11,3,0.2727272727272727
301,5,0,0.0
302,3,1,0.3333333333333333
303,2,1,0.5
304,1,0,0.0
305,8,2,0.25
306,1,0,0.0
307,4,0,0.0
308,5,0,0.0
309,2,0,0.0
310,1,0,0.0
311,2,0,0.0
312,3,0,0.0
313,8,1,0.125
314,0,0,NAN
315,4,0,0.0
316,4,0,0.0
317,3,1,0.3333333333333333
318,4,0,0.0
319,4,0,0.0
320,4,0,0.0
321,2,1,0.5
322,5,1,0.2
323,2,0,0.0
324,1,0,0.0
325,1,1,1.0
326,6,1,0.16666666666666666
327,1,0,0.0
328,1,0,0.0
329,0,0,NAN
330,0,0,NAN
331,2,0,0.0
332,2,0,0.0
333,7,0,0.0
334,4,0,0.0
335,3,0,0.0
336,3,1,0.3333333333333333
337,6,1,0.16666666666666666
338,2,0,0.0
339,6,0,0.0
340,3,0,0.0
341,5,1,0.2
342,3,0,0.0
343,4,1,0.25
344,1,0,0.0
345,3,0,0.0
346,3,0,0.0
347,2,0,0.0
348,5,0,0.0
349,7,1,0.14285714285714285
350,2,0,0.0
351,3,1,0.3333333333333333
352,2,1,0.5
353,4,0,0.0
354,2,0,0.0
355,2,0,0.0
356,4,1,0.25
357,4,1,0.25
358,1,0,0.0
359,4,0,0.0
360,2,1,0.5
361,4,0,0.0
362,1,0,0.0
363,5,0,0.0
364,2,0,0.0
365,2,0,0.0
366,6,0,0.0
367,7,0,0.0
368,2,0,0.0
369,5,2,0.4
370,2,0,0.0
371,4,0,0.0
372,2,1,0.5
373,3,0,0.0
374,1,1,1.0
375,1,0,0.0
376,2,0,0.0
377,0,0,NAN
378,2,0,0.0
379,7,0,0.0
380,4,1,0.25
381,2,2,1.0
382,6,2,0.3333333333333333
383,5,1,0.2
384,1,1,1.0
385,6,0,0.0
386,3,0,0.0
387,7,0,0.0
388,3,2,0.6666666666666666
389,9,0,0.0
390,4,1,0.25
391,2,0,0.0
392,2,0,0.0
393,2,0,0.0
394,3,0,0.0
395,6,0,0.0
396,5,1,0.2
397,0,0,NAN
398,4,0,0.0
399,5,0,0.0
400,1,0,0.0
401,2,0,0.0
402,4,3,0.75
403,0,0,NAN
404,1,0,0.0
405,0,0,NAN
406,4,1,0.25
407,2,0,0.0
408,3,0,0.0
409,4,2,0.5
410,2,0,0.0
411,5,0,0.0
412,5,0,0.0
413,2,0,0.0
414,1,0,0.0
415,5,0,0.0
416,3,1,0.3333333333333333
417,4,0,0.0
418,2,0,0.0
419,3,0,0.0
420,3,1,0.3333333333333333
421,4,0,0.0
422,3,1,0.3333333333333333
423,2,0,0.0
424,0,0,NAN
425,2,0,0.0
426,3,1,0.3333333333333333
427,1,0,0.0
428,5,0,0.0
429,1,0,0.0
430,2,0,0.0
431,3,0,0.0
432,6,0,0.0
433,2,0,0.0
434,4,1,0.25
435,5,1,0.2
436,3,0,0.0
437,5,0,0.0
438,2,0,0.0
439,2,0,0.0
440,1,0,0.0
441,4,0,0.0
442,3,0,0.0
443,3,1,0.3333333333333333
444,5,0,0.0
445,4,0,0.0
446,3,1,0.3333333333333333
447,6,0,0.0
448,3,1,0.3333333333333333
449,5,0,0.0
450,0,0,NAN
451,7,4,0.5714285714285714
452,4,0,0.0
453,5,0,0.0
454,9,1,0.1111111111111111
455,0,0,NAN
456,0,0,NAN
457,7,1,0.14285714285714285
458,4,0,0.0
459,7,1,0.14285714285714285
460,3,0,0.0
461,7,0,0.0
462,3,0,0.0
463,4,0,0.0
464,4,1,0.25
465,2,0,0.0
466,3,1,0.3333333333333333
467,3,0,0.0
468,2,0,0.0
469,3,0,0.0
470,5,0,0.0
471,4,0,0.0
472,4,0,0.0
473,1,1,1.0
474,6,2,0.3333333333333333
475,4,0,0.0
476,4,0,0.0
477,11,1,0.09090909090909091
478,4,0,0.0
479,2,0,0.0
480,4,0,0.0
481,0,0,NAN
482,1,0,0.0
483,8,1,0.125
484,4,0,0.0
485,7,0,0.0
486,1,0,0.0
487,4,0,0.0
488,4,1,0.25
489,1,0,0.0
490,3,1,0.3333333333333333
491,5,1,0.2
492,3,0,0.0
493,3,0,0.0
494,3,1,0.3333333333333333
495,5,0,0.0
496,4,0,0.0
497,8,1,0.125
498,4,1,0.25
499,4,2,0.5
500,1,0,0.0
501,1,1,1.0
502,4,0,0.0
503,2,0,0.0
504,5,0,0.0
505,1,0,0.0
506,5,1,0.2
507,1,0,0.0
508,5,0,0.0
509,1,1,1.0
510,2,1,0.5
511,0,0,NAN
512,2,0,0.0
513,2,0,0.0
514,3,0,0.0
515,5,0,0.0
516,8,2,0.25
517,2,0,0.0
518,7,1,0.14285714285714285
519,5,0,0.0
520,7,1,0.14285714285714285
521,4,2,0.5
522,4,0,0.0
523,5,0,0.0
524,4,0,0.0
525,4,1,0.25
526,1,0,0.0
527,4,1,0.25
528,2,0,0.0
529,1,1,1.0
530,2,0,0.0
531,4,0,0.0
532,3,0,0.0
533,2,0,0.0
534,0,0,NAN
535,4,0,0.0
536,1,1,1.0
537,5,1,0.2
538,4,1,0.25
539,3,0,0.0
540,3,0,0.0
541,5,1,0.2
542,2,0,0.0
543,4,1,0.25
544,1,0,0.0
545,5,0,0.0
546,4,0,0.0
547,4,1,0.25
548,1,0,0.0
549,2,1,0.5
550,3,1,0.3333333333333333
551,2,0,0.0
552,6,1,0.16666666666666666
553,3,0,0.0
554,4,0,0.0
555,0,0,NAN
556,2,0,0.0
557,0,0,NAN
558,2,0,0.0
559,5,1,0.2
560,5,0,0.0
561,2,1,0.5
562,6,0,0.0
563,1,0,0.0
